,ad_creative_bodies,ad_creative_link_descriptions,bylines,ad_creative_link_titles,ad_creative_link_captions,demographic_distribution,page_name,page_id,id,estimated_audience_size.lower_bound,estimated_audience_size.upper_bound,impressions.lower_bound,impressions.upper_bound,spend.lower_bound,spend.upper_bound
10,"['When you become an early childhood teacher, you are building the future for the children you care for and teach every day. Be there for the milestones and have an impact on the lives of little ones—as well as your own! www.ChildCareCareers.info\n.\n.\n.\nCuando te conviertes en maestro de la primera infancia, moldeas el futuro de los niños a los que cuidas y enseñas a diario. Presencia los acontecimientos más importantes y genera un impacto en la vida de los más pequeños, ¡y también en la tuya! www.ChildCareCareers.info']",,Connecticut Office of Early Childhood,,,"[{'percentage': '0.000472', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.000943', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00283', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.004717', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.054717', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.108726', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.091981', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.205896', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.123113', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.177123', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.130425', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.096934', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001415', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000708', 'age': '13-17', 'gender': 'female'}]",Connecticut Office of Early Childhood,456991717743178,514755416851183,500001,1000000,4000,4999,0,99
11,['🎙John DiIorio on Chaz and AJ talking about the top 5 ways Connecticut is destroying businesses.\n\nGet the full interview here: https://www.reclaimct.org/radiointerviews'],,Reclaim Connecticut,,['www.reclaimct.org'],"[{'percentage': '0.005025', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.090452', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.055276', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.130653', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.075377', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.050251', 'age': '65+', 'gender': 'female'}, {'percentage': '0.050251', 'age': '65+', 'gender': 'male'}, {'percentage': '0.140704', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.110553', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.145729', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.140704', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.005025', 'age': '18-24', 'gender': 'male'}]",Reclaim CT,108966061698501,722560848883589,100,1000,1000,1999,0,99
12,['Tell the governor and legislators to support #EducationJusticeNow - #HB5283 would send MILLIONS in additional funding to CT public schools through a student-centered approach.'],['Let your legislators know you support student-centered funding and #EducationJusticeNow.'],"50CAN, INC.","[""Take Action to Fund Connecticut's Schools Based on the Needs of Students!""]",['p2a.co'],"[{'percentage': '0.000157', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.138401', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002508', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001254', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.002665', 'age': '65+', 'gender': 'male'}, {'percentage': '0.002978', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.011285', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.291066', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.351254', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000157', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.113793', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.060188', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.002194', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.016614', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.002508', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000784', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.002194', 'age': '55-64', 'gender': 'female'}]",ConnCAN,14358299361,847272886233140,1000001,,8000,8999,0,99
13,['✅✅✅🎓What does #EducationJusticeNow mean to you and your community? House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.\n\n➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ\n\n➡️ Read the bill: https://bit.ly/3vdxgJP\n\n➡️ Learn more at: https://linktr.ee/studentcenteredfunding'],['Let your legislators know you support student-centered funding and #EducationJusticeNow.'],"50CAN, INC.","[""Take Action to Fund Connecticut's Schools Based on the Needs of Students!""]",['p2a.co'],"[{'percentage': '0.005348', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.005348', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.050802', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.109626', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.058824', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.216578', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.13369', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.227273', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.066845', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.037433', 'age': '65+', 'gender': 'male'}, {'percentage': '0.040107', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.005348', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.037433', 'age': '65+', 'gender': 'female'}, {'percentage': '0.002674', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.002674', 'age': '65+', 'gender': 'unknown'}]",ConnCAN,14358299361,1251169975290353,500001,1000000,0,999,0,99
14,['✅✅✅🎓What does #EducationJusticeNow mean to you and your community? House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.\n\n➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ\n\n➡️ Read the bill: https://bit.ly/3vdxgJP\n\n➡️ Learn more at: https://linktr.ee/studentcenteredfunding'],['Let your legislators know you support student-centered funding and #EducationJusticeNow.'],"50CAN, INC.","[""Take Action to Fund Connecticut's Schools Based on the Needs of Students!""]",['p2a.co'],"[{'percentage': '0.002519', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.002519', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.02267', 'age': '65+', 'gender': 'male'}, {'percentage': '0.11335', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.037783', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.055416', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.052897', 'age': '65+', 'gender': 'female'}, {'percentage': '0.239295', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.118388', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.042821', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.06801', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.224181', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.007557', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002519', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.010076', 'age': '18-24', 'gender': 'female'}]",ConnCAN,14358299361,1040074760265337,500001,1000000,0,999,0,99
15,['Hear from community activist Shawn Gaston about the merits of House Bill 5283 and how it would support education in the Brass City. \n\nSend a quick message to your legislators today https://p2a.co/IjyotSO\n\nStudent-centered funding would send millions in ADDITIONAL funding to Connecticut public schools.\n\nhttps://conncan.org/blog/shawn_gaston/\n\n#EducationJusticeNow #students #schools'],"['by ConnCAN posted on April 21, 2022April 22, 2022 On Thursday, April 21, the Waterbury Republican-American published a letter from community activist Shawn Gaston about the merits of House Bill 5283 and how it would support education in the Brass City. As a lifelong resident of Waterbury, and a pare...']","50CAN, INC.",['Student-centered funding would benefit Waterbury'],['conncan.org'],"[{'percentage': '0.044444', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.342857', 'age': '65+', 'gender': 'female'}, {'percentage': '0.142857', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.177778', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.225397', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.066667', 'age': '25-34', 'gender': 'female'}]",ConnCAN,14358299361,981576472489908,100001,500000,0,999,0,99
16,"['✅ ✅ ✅ 🎓 What does #EducationJusticeNow mean to you and your community? House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.\n\n➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ\n\n➡️ Read the bill: https://bit.ly/3vdxgJP\n\n➡️ Learn more at: https://linktr.ee/studentcenteredfunding\n\n➡️ Read an-op ed from the leaders of the #EducationJusticeNow coalition School and State Finance Project, Connecticut Charter Schools Association, Educators for Excellence, FaithActs for Education https://bit.ly/3LgdFhL']",,"50CAN, INC.",,,"[{'percentage': '0.009709', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.043689', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.009709', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.024272', 'age': '65+', 'gender': 'female'}, {'percentage': '0.048544', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.004854', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.194175', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.087379', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.160194', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.135922', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.203883', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.053398', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.024272', 'age': '65+', 'gender': 'male'}]",ConnCAN,14358299361,387255943263605,500001,1000000,0,999,0,99
17,"['The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.']",['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],,Connecticut Education Association (CEA),124383441363,1631029237281848,10001,50000,0,999,0,99
18,['Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.'],['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],,Connecticut Education Association (CEA),124383441363,748463652812276,10001,50000,0,999,0,99
19,"['There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.']",['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Time is running out to Pass SB 423!'],['secure.ngpvan.com'],,Connecticut Education Association (CEA),124383441363,980407099272366,10001,50000,0,999,0,99
20,['Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).'],['Tell your legislators to pass SB 423'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],,Connecticut Education Association (CEA),124383441363,695767441755274,10001,50000,0,999,0,99
21,['Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.'],['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],"[{'percentage': '0.06383', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.010638', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.010638', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.117021', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.297872', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.159574', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.319149', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.021277', 'age': '55-64', 'gender': 'male'}]",Connecticut Education Association (CEA),124383441363,1032174547726044,10001,50000,0,999,0,99
22,"['Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.']",['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],"[{'percentage': '0.01105', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.033149', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.143646', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.348066', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.187845', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.110497', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.127072', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.022099', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.005525', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.01105', 'age': '45-54', 'gender': 'unknown'}]",Connecticut Education Association (CEA),124383441363,1061663984418099,10001,50000,0,999,0,99
23,"['Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.']",['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],"[{'percentage': '0.017316', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.012987', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.134199', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.186147', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.090909', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.225108', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.316017', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.008658', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.004329', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.004329', 'age': '35-44', 'gender': 'unknown'}]",Connecticut Education Association (CEA),124383441363,979793666011078,10001,50000,0,999,0,99
24,['Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.'],['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],"[{'percentage': '0.165618', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.002096', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.06499', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.044025', 'age': '65+', 'gender': 'female'}, {'percentage': '0.060797', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.194969', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.150943', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.104822', 'age': '65+', 'gender': 'male'}, {'percentage': '0.115304', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.039832', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.054507', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.002096', 'age': '55-64', 'gender': 'unknown'}]",Connecticut Education Association (CEA),124383441363,5063831877043488,10001,50000,0,999,0,99
25,['Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).'],['Tell your legislators to pass SB 423'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],"[{'percentage': '0.193182', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.022727', 'age': '65+', 'gender': 'female'}, {'percentage': '0.034091', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.090909', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.227273', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.113636', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.079545', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.022727', 'age': '65+', 'gender': 'male'}, {'percentage': '0.125', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.079545', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.011364', 'age': '55-64', 'gender': 'unknown'}]",Connecticut Education Association (CEA),124383441363,749080366102845,10001,50000,0,999,0,99
26,"['The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.']",['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],,Connecticut Education Association (CEA),124383441363,1035484010387118,10001,50000,0,999,0,99
27,['Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.'],['Our kids can’t wait.'],CONNECTICUT EDUCATION ASSOCIATION,['Tell Legislators: Pass SB 423 NOW'],['secure.ngpvan.com'],"[{'percentage': '0.044467', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.174767', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.06515', 'age': '65+', 'gender': 'female'}, {'percentage': '0.113754', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.113754', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.141675', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.078594', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.063082', 'age': '65+', 'gender': 'male'}, {'percentage': '0.11789', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.08273', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.002068', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001034', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001034', 'age': '45-54', 'gender': 'unknown'}]",Connecticut Education Association (CEA),124383441363,387225913274337,10001,50000,1000,1999,0,99
