,text,advertiser_name,platform,words,m_label,
62,ernest will make sure our voices are heard join us,BAILES FOR TEXAS CAMPAIGN,google,no words,no topic,
63,subscribe to my newsletter today to keep up with the action in tx and dc veterans issues taxes government spending and more my office is here to help,REP. PETE OLSON - U.S. HOUSE OF REPRESENTATIVES,google,"taxes,government spending,veterans issues","economic,military",
64,matt supported laws that called for audits of the 2020 election results,MATT KRAUSE CAMPAIGN,google,laws,governance,
65,matt has a proven record on immigration he will defend the rule of law as tarrant co da,MATT KRAUSE CAMPAIGN,google,"law,immigration","governance,immigration",
66,trump s texas rally is happening show your support u0026 make 900 impact now,"REPUBLICAN STATE LEADERSHIP COMMITTEE, INC.",google,no words,no topic,
67,the dallas morning news officially backs jay kleberg for texas land commissioner as land commissioner jay kleberg will tackle climate change find out more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,"climate change,climate",environment,
68,mike will defend voting rights protect the right to choose and fix the damn grid vote for mike collier in the democratic primary for texas lieutenant governor,COLLIER COMMITTEE,google,"right to choose,voting rights","governance,social and cultural",
69,contribute to beth van duyne u0026 help her fight to secure our borders u0026 put americans first we can put an end to socialism and tyranny with your support,BETH VAN DUYNE FOR CONGRESS,google,"borders,contribute","donation,immigration",
70,patriot not a politician vote for brandon williams republican for ny 22,Brandon for Congress NY 22,google,no words,no topic,
71,voting in the democratic primary is happening now cast your vote for mike today,COLLIER COMMITTEE,google,no words,no topic,
72,help texas keep a conservative fighter in the house who puts america first support a fighter in congress who is up against nancy pelosi and the radical left,BETH VAN DUYNE FOR CONGRESS,google,no words,no topic,
73,with a lifetime of service ernest will fight tirelessly for you,BAILES FOR TEXAS CAMPAIGN,google,no words,no topic,
74,congresewoman sylvia garcia officially endorses jay kleberg for land commissioner jay kleberg can lead the way in creating a more resilient texas learn more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,no words,no topic,
75,make your voting plan today early voting starts feb 14 and election day is march 1,JESSICA CISNEROS FOR CONGRESS,google,no words,no topic,
76,real leadership for you ernest will get it done,BAILES FOR TEXAS CAMPAIGN,google,no words,no topic,
77,texas,DON HUFFINES CAMPAIGN,google,no words,no topic,
78,donate 15 or more and we will send you a union made sign,Beto for Texas,google,donate,donation,
79,hegar will stand up for the tax payer and fight for government transparency learn more glenn hegar distributed 3 billion to add officers and secure our border learn more here,Glenn A. Hegar,google,"border,tax,officers","economic,immigration,safety",
80,there s no greater priority than defending democracy you can help,Democracy Initiative,google,no words,no topic,
81,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide there s no greater priority than defending democracy you can help,Democracy Initiative,google,laws,governance,
82,tony gonzales is a veteran fighting for texas in congress learn more about tony gonzales,TONY GONZALES FOR CONGRESS,google,no words,no topic,
83,harold dutton voted for the largest school funding increase in state history u0026 stood up to,Federation for Children PAC,google,school,education,
84,vote gina calanni for harris county commissioner precinct 4,GINA CALANNI FOR HARRIS COUNTY COMMISSIONER PRECINCT 4,google,no words,no topic,
85,standing up for our rights,Rochelle Garza for Texas,google,no words,no topic,
86,mike will defend voting rights protect the right to choose and fix the damn grid,COLLIER COMMITTEE,google,"right to choose,voting rights","governance,social and cultural",
87,the austin chronicle officially backs jay kleberg for texas land commissioner jay kleber will take a proactive role in conserving a resilient landscape learn more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,no words,no topic,
88,harris county commissioner rodney ellis officially endorses jay kleberg for texas as land commissioner jay kleberg will tackle climate change find out more,JAY KLEBERG CAMPAIGN FOR TEXAS LAND COMMISSIONER,google,"climate change,climate",environment,
89,gop house of representative primary candidate for texas 32nd congressional district the conservative candidate who represents your interests discover more here,OKPA FOR CONGRESS,google,no words,no topic,
90,elon musk s 44 billion dollar cash offer for twitter is accepted so a new day dawns for communication in the public square for the future of humanity now as one republican officeholder that really started on twitter after the former ceo dorsey cut off ads for political accounts i stayed on tweeting conservative public policy solutions to texas challenges i wasn t going to give up on the public square discussion and slowly doubled my audience with good content teambettencourt so i wish elon musk well in his already announced reforms this reuters article covers that and more and it s well worth the read at the best public policy stands out in any public debate and musk is smart enough to realize that standing up for free speech pays tremendous dividends to all those that participate that s why he s not worried about the economics of his purchase publicly because if he does his job he will exceed expectations again like he did at paypal tesla and spacex,Friends of Paul Bettencourt,facebook,dividends,economic,
91,wtf first it was texas and at least a dozen other states are at risk of passing a bill similar to texas s extreme six week abortion ban these cruel bans disproportionately harm black latinx people people with low incomes and people in rural areas who already face immense barriers to health care access it s up to us to stop it,Planned Parenthood Action Fund,facebook,"health care,health,black,incomes,abortion","economic,health,social and cultural",
92,it is essential that dems nominate our strongest advocate to win in november mihaela plesa is the only candidate in this race that has the experience to deliver results on day one,Mihaela Plesa for Texas House,facebook,no words,no topic,
93,hey bob moore what say you debate me i challenge you to a debate on facebook live this coming friday april 29th at 7pm folks if you d like to see this debate please share this post everywhere,Shannon Thomason Campaign,facebook,no words,no topic,
94,as our community faces higher fuel prices we must consider the use of public transportation and the consolidation of transportation systems throughout the valley once elected i will work hard to pass legislation that will look at a regional approach for transportation in cameron and willacy counties to ensure our citizens can travel freely throughout the valley without any significant expense an active regional transit authority will give the rio grande valley power to one day have an interconnected system of public transportation that may include light rail throughout the community,Luis Villarreal Jr. for Texas State Rep. D37,facebook,"transportation,fuel","economic,environment",
95,the conservative roundtable of texas champions mainstream leadership that protects limited government and advances conservative solutions i m honored to have been recognized with their 2021 exemplary conservative for business award and the 2021 effective conservative award as your voice in the texas legislature i will always uphold the conservative values and principles that texans cherish txlege,Tan Parker Campaign,facebook,limited government,governance,
96,what a terrific day in shiner yesterday recognizing state champions the shiner high school football team won state this year making it back to back it was an honor to present senate proclamations to the team marking their accomplishment and it was awesome making a stop in the same city to visit the st paul s catholic school cardinals and present senate proclamations to their football team on winning a fourth straight state championship not to be outdone the lady cardinals basketball team also brought home the state championship trophy this season as well as the lady cardinal cross country team winning their ninth yes you read that correctly ninth state championship what an amazing group of student athletes congratulations to not only the players and coaches but to the parents who have raised such an incredible generation of hard working goal oriented young men and women their drive for success is inspiring,Lois W. Kolkhorst Campaign,facebook,"student,school,cardinal,catholic","education,social and cultural",
97,thank you rocktholla for your endorsement i appreciate your kind words and affirmations early voting starts april 25th may 3rd make sure that you vote early pick3place3 drreedformisd drbenitareed drreed drbenita schoolboard misd allstudents excellence readiness accountability trustee mansfield texas tasb candidate family teachers staff,Dr. Reed For MISD,facebook,teachers,education,
98,early voting starts today april 25th through may 3rd vote at any location in denton county on may 7th you must vote at your precinct location north of 380 residents at copeland center south of 380 residents oak point city hall,T Lynn Tompkins Jr.,facebook,no words,no topic,
99,big endorsement i am honored to have earned the endorsement of texas agriculture commissioner sid miller in the republican primary run off for kendall country judge president donald j trump calls commissioner miller trump s man in texas and i am proud to call him a supporter and a friend here is commissioner miller s official endorsement statement i ve proudly endorsed chris taylor for judge in the republican primary runoff to be the next kendall county judge chris is a true texan whose family with the addition of his granddaughter now reaches back eight generations in the county and the lone star state chris s agriculture roots run deep he even earned his first paycheck selling his livestock project as a 4 h member chris is a proven conservative who will stand with me and president donald j trump in always putting texas and america first i look forward to working closely with chris and other conservative leaders in kendall county to help make it an even greater place to live work and raise a family i ask that you join me in supporting this good man he has earned my strong support i hope that he will earn yours as well sid miller texas commissioner of agriculture to learn more,Chris Taylor for Kendall County Judge,facebook,no words,no topic,
100,vote for the true texas conservative who will continue to fight for conroe vote harry hardman for place 3 early voting begins next monday april 25th 29th and may 2nd may 3rd for the city of conroe general election on may 7th,Harry Hardman Campaign,facebook,no words,no topic,
101,high plains solar is a texas owned company that understands that the rising energy costs can be concerning we ll create customized solar energy plans and installations designed to work best with your home and budget switching to renewable energy will save you money for your future click now to get solar panels installed today,High Plains Solar LLC,facebook,"energy costs,renewable energy,renewable,solar energy,solar panels",environment,
102,high plains solar is a texas owned company that understands that the rising energy costs can be concerning we ll create customized solar energy plans and installations designed to work best with your home and budget switching to renewable energy will save you money for your future click now to start the solar power transition today,High Plains Solar LLC,facebook,"solar power,energy costs,renewable energy,renewable,solar energy",environment,
103,high plains solar is a texas owned company that understands that the rising energy costs can be concerning we ll create customized solar energy plans and installations designed to work best with your home and budget switching to renewable energy will save you money for your future click to start your solar transformation today,High Plains Solar LLC,facebook,"solar energy,renewable energy,energy costs,renewable",environment,
104,natural gas prices were on a tear before joining the broader market selloff the so called bridge fuel could now turn out to be president joe biden s next energy calamity in the making,Liberty Nation,facebook,"gas prices,natural gas,fuel",environment,
105,gerard hudspeth for denton mayor commonsense leadership with a proven record election day may 7,Texas Realtors PAC,facebook,no words,no topic,
106,dr albert parra for arlington city council fighting for the american dream election day may 7,Texas Realtors PAC,facebook,no words,no topic,
107,bowie hogg for arlington city council a brighter future for arlington election day may 7,Texas Realtors PAC,facebook,no words,no topic,
108,we cannot allow north carolina to become another florida or texas jason minnicozzi is running for nc state senate because he believes that the rights of lgbtq people should always be protected we must do everything possible to support and defend their constitutional rights when elected to the nc state senate jason will advocate for all north carolinians regardless of gender identy or sexual preference chip in 30 today,JASON MINNICOZZI FOR CONGRESS,facebook,chip in,donation,
109,new video the democrats open border policies are endangering our country and putting the men and women serving on the frontlines in danger as we saw with the tragic death of texas national guard specialist bishop evans spc evans and all the other men and women guarding our border deserve better than what they ve gotten from joe biden and joaquin castro they need support and deserve respect and that s what i ll give them if you re ready for change i ask for your vote this november castrohastogo votekyle,COMMITTEE TO ELECT KYLE SINCLAIR FOR CONGRESSIONAL DISTRICT 20,facebook,border,immigration,
110,thank you to the associated republicans of texas art for your endorsement we share the same vision of keeping texas a conservative state hd 122 can count on me to fight biden s open border cut property taxes oppose crt protect the unborn and defend our 2nd amendment be sure to make a plan to vote for conservative elisa chan on may 24th in the primary runoff,ELISA CHAN CAMPAIGN,facebook,"border,taxes,2nd amendment,unborn","economic,immigration,safety,social and cultural",
111,there are only 29 days left until the gop runoff election day we have updated our website with critical decision making information please visit davidlowefortexas com and contact me directly if you have any questions,David Lowe for Texas,facebook,no words,no topic,
112,development pressure has been a consistent threat to castner range a unique high desert area in west texas that s a biodiversity hotspot a rich archaeological site and important to indigenous people in the region the local community has been working for decades to permanently protect the land tell president biden to honor their wishes by designating castner range as a national monument,"WILDERNESS SOCIETY, THE",facebook,no words,no topic,
113,each spring mexican gold poppies bloom in west texas franklin mountains this area known as the castner range is a biodiversity hotspot a rich archaeological site and important to indigenous people in the region but this area has faced constant pressure from development for decades join local communities in pushing back tell president biden to designate castner range as a national monument and protect it permanently,"WILDERNESS SOCIETY, THE",facebook,no words,no topic,
114,i am running for state rep to ensure a more conservative future for my son,David Lowe for Texas,facebook,no words,no topic,
115,i have always been pro life but the birth of my son jackson only confirmed that conviction i am proudly 100 pro life and believe that every life is a precious gift from god i am honored to accept the endorsement of life pac and i look forward to defending life as your next state representative,Justin Berry For Texas House,facebook,pro life,social and cultural,
116,we need to make sure wisd is prepared for the growth not only for tomorrow but for ten plus years for a short term solution to alleviate overcrowding in certain schools the district can use facilities that are not being maximized to help relieve facilities that are approaching capacity for a long term solution the district and the community need to work together to formulate a plan that we can all get behind that will sufficiently address growth for the long term and when i say long term i mean ten plus years our next generation will be the future teachers firefighters doctors and community leaders that we will rely on in the future we as a community need them to receive a quality education so that they can flourish in whatever they want to do the first step in ensuring the students receive a quality education is to provide an environment that promotes opportunity and success as a trustee i am committed to working with the community and administration to set in action a 10 year plan that ensures wisd continues to be the award winning district that we are early voting underway now thru may 3rd election day may 7th vote ryan pitts for waxahachie isd board of trustees place 7 pittsforwisd com pittsforwisd waxahachieisd waxahachie waxahachietx futureofwaxahachie pittsforschoolboard,Ryan Pitts Campaign for WISD,facebook,"education,environment,teachers","education,environment",
117,east north central lubbock we have the numbers to choose lubbock s next mayor we just have to show up and make it official at the polls thank you to jake at j m photography of lubbock texas for graciously producing and donating this video,Adam Hernandez for Mayor,facebook,no words,no topic,
118,as your representative ben will cut our taxes promote economic growth and job creation secure our elections secure our border,Ben Bius for Texas 12 Campaign,facebook,"border,taxes,job creation,economic","economic,immigration",
119,ben bius is endorsed by ted cruz because ben won t back down from a fight business experience fiscal conservatism fight the woke agenda in our schools 100 pro life pro 2nd amendment secure the border build the wall uphold law order including election integrity,Ben Bius for Texas 12 Campaign,facebook,"law,pro life,border,2nd amendment,secure the border","governance,immigration,safety,social and cultural",
120,ben bius is leading from the front and never backing down from the liberal mob vote for ben bius in the republican primary runoff may 24,Ben Bius for Texas 12 Campaign,facebook,no words,no topic,
121,the only thing standing between me and dan patrick is the money i need to get our message out as democrats will you chip in today and help us reach our end of month fundraising goal,COLLIER COMMITTEE,facebook,chip in,donation,
122,as a long time resident of the beautiful city of ovilla i want to thank you for your support and vote for ovilla city council,Brandon Michael Collett,facebook,no words,no topic,
123,the only thing standing between me and dan patrick is the money i need to get our message out as democrats our state is not a prop in greg abbott and dan patrick s political theater yet abbott and patrick have spent years trying to swindle us by using fear of our neighbors and our government to divert our attention from their inability to deliver for the people of texas 100 million per day that is how much greg abbott s latest border stunt is costing our economy governance by stunts all to distract from our rickety power grid our skyrocketing property taxes and our fundamental rights hanging in the balance well folks i ve had enough and i think the majority of texans have had enough we deserve better this november we can hold them accountable and beat them but we ll need money and your support to get the job done we re coming up on our last end of month fundraising deadline before the democratic primary so anything you can give right now will help us lay the groundwork for a tough fight and allow us to win i mean that will you chip in today and help us reach our end of month fundraising goal,COLLIER COMMITTEE,facebook,"economy,border,taxes,chip in,power grid","donation,economic,environment,immigration",
124,let s defeat the worst lt governor in the nation will you donate before our end of month deadline to make sure we can beat dan patrick this november,COLLIER COMMITTEE,facebook,donate,donation,
125,100 million per day that is how much greg abbott s latest border stunt is costing our economy our state is not a prop in greg abbott and dan patrick s political theater yet abbott and patrick have spent years trying to swindle us by using fear of our neighbors and our government to divert our attention from their inability to deliver for the people of texas governance by stunts all to distract from our rickety power grid our skyrocketing property taxes and our fundamental rights hanging in the balance well folks i ve had enough we deserve better this november we can hold them accountable and beat them and i am pumped to do it but we cannot do it without your all important support we re coming up on our last end of month fundraising deadline before the democratic primary so anything you can give right now will help us lay the groundwork for a tough fight and allow us to win i mean that,COLLIER COMMITTEE,facebook,"border,taxes,economy,power grid","economic,environment,immigration",
126,the only thing standing between me and the worst lt governor in the nation is the money i need to get our message out greg abbott and dan patrick have spent years trying to swindle us by using fear of our neighbors and our government to divert our attention from their inability to deliver for the people of texas and their latest border stunt is costing our economy 100 million per day i ve had enough and i think the majority of texans have had enough we deserve better this november we can hold them accountable and beat them but we ll need money and your support to get the job done will you donate before our end of month deadline to make sure we can beat dan patrick this november,COLLIER COMMITTEE,facebook,"border,economy,donate","donation,economic,immigration",
127,i m pumped to defeat dan patrick but to pull it off we ll need your support it s the last month before our runoff election in the democratic primary for lt governor and we re pushing hard to close the month out strong will you chip in today and help us reach our end of month fundraising goal,COLLIER COMMITTEE,facebook,chip in,donation,
128,show support for president trump texas for trump embroidered hat quantities extremely limited ships from the usa,Republican Dogs,facebook,no words,no topic,
129,show support for president trump limited edition texas trump flag quantities extremely limited ships from the good old usa,Republican Dogs,facebook,no words,no topic,
130,join us for a catfish fry supporting conservative republican ben bius for texas state house,Ben Bius for Texas 12 Campaign,facebook,no words,no topic,
131,election integrity is critical in our country and in texas we must demand a fair and transparent election process as state representative i will fight for efforts to update election codes and mandate that the most secure election technology be used as a reminder early voting is may 16 20 and election day is may 24 i hope to see everyone at the polls,Jamee Jolly Campaign,facebook,no words,no topic,
132,before you vote yes on the 4 klein isd bond propositions you will have the opportunity to vote for 2 state propositions as well the second one allows you to vote for an increase on your homestead exemption from 25 000 to 40 000 if this state prop passes along with all four klein isd bond props you will still see a decrease in your taxes,Vote Yes Klein,facebook,"taxes,exemption",economic,
133,vote for the city of lavon prop a,Restaurant & Beverage Alliance of Texas,facebook,no words,no topic,
134,protecting our children is always my top priority and parents have every right to protect their children from explicit material as state representative i will support closing the loopholes in texas obscenity laws to keep pornographic and sexually explicit materials out of our public schools it s our responsibility to pass legislation that will prevent future infiltration of this material,Frazier for Texas Campaign,facebook,"public schools,laws","education,governance",
135,are you a high school senior watch this video and learn how you can win a brand new toyota corolla laptops come out to this free event be sure to invite your fellow graduating classmates registration required see you there highschoolsenior highschoolseniors houston highschoolgrads highschoolgrad chavezhighschool milbyhighschool austinhighschool heightshighschool,Morales for District 145,facebook,school,education,
136,movie night at alamo drafthouse is back this year with but i m a cheerleader featuring natasha lyonne clea duvall and rupaul celebrate pride with this cult classic as we bring it back to 1999 tickets are available for 25 on our website until they sell out price includes a fountain drink and personal popcorn full service alcohol and food available for an additional charge,"The Mosaic Project of South Texas, Inc.",facebook,alcohol,safety,
137,yct stc is very excited to announce to its students and community members that we the republican nominees for various offices this thursday april 28th 2022 6 30pm details below,Emanuel Martinez,facebook,nominees,governance,
138,as co chair of the supply chain caucus i support the america competes act to bolster supply chains and make more items in america,Rep. Colin Allred,facebook,no words,no topic,
139,i am fighting to strengthen supply chains and lower costs for working families by passing the america competes act,Rep. Colin Allred,facebook,no words,no topic,
140,as our community faces higher fuel prices we must consider the use of public transportation and the consolidation of transportation systems throughout the valley once elected i will work hard to pass legislation to create a regional transit authority that will look at a regional approach for transportation in cameron and willacy counties to ensure our citizens can travel freely throughout the valley without any significant expense a regional transit authority will give the rio grande valley power to one day have an interconnected system of public transportation that may include light rail throughout the community,Luis Villarreal Jr. for Texas State Rep. D37,facebook,"transportation,fuel","economic,environment",
141,early voting for city council races in jersey village is currently underway polls are open until 7pm today and you can vote at any of the 52 early voting polling sites throughout harris county please do not wait until election day to cast your ballot visit harrisvotes com for a list of polling locations i have proudly endorsed councilmember james singleton for re election to place 4 on our city council he has remained above the fray stuck to the important issues in our city and has not engaged in the mud slinging we have seen elsewhere in this race this is precisely how he has carried himself throughout his four years in office and i know he will continue to be an outstanding servant leader for jersey village please join me in supporting james singleton by getting out and voting,Bobby Lee Warren Jr,facebook,no words,no topic,
142,my opponent is telling people that during our debate on april 18th i came out against the passage of proposition 1 something i never said the quote he uses refers to the part of the debate where i was asked about proposition 1 to which i responded it is not true property tax relief a statement i stand by even my opponent referred to proposition 1 as clean up language if propositions 1 and 2 pass more than 5 million homeowners would benefit from average savings of 176 excluding other higher local property taxes so no relief for small business owners that are the backbone of our economy landlords apartment owners renters and those with secondary properties it is time for real property tax relief with my plan your property taxes will decrease every year and will put us on a path to eliminating property taxes altogether while my opponent claims he supports property tax relief and has never raised taxes the facts are clear and his record says something completely different my opponent would rather lie about my intentions than talk about his record the fact is that when he was mayor he voted to raise property taxes every year in office and the people of new braunfels continued to suffer because of the increase in their property taxes in a recent article the texan points out during casteel s time as mayor new braunfels lowered its tax rate at various points something he touts often on the campaign trail including at the debate but reducing the tax rate does not necessarily mean property tax collections were reduced with rising appraisals unless the no new revenue rate at most is adopted property tax bills will increase not once during his tenure did the city adopt the no new revenue rate that would have kept tax bills unchanged from the previous year now new information has come to light that shows my opponent joined with other liberal democrat mayors and rallied against property tax relief legislation considered in 2017 this legislation gave voters a voice but my opponent thinks he knows what s best for you he wants to be able to raise your taxes without you having a say if he wouldn t support or implement property tax relief when he was mayor why should we expect him to do it in austin i have a plan to eliminate our property taxes while fully funding schools and without raising any other taxes you can read more about it at my website property ownership is a right and i will fight for that right,Carrie Isaac for Texas,facebook,"landlords,tax,tax rate,economy,taxes,small business,savings","economic,social and cultural",
