,text,advertiser_name,platform
15,emil guillermo is emil amok e295 musk is making it private deal breaker filipinos in u s vote in ca 45 race steel s racism wdaaat emil s takes on everything aaf asian american filipino and all aax s it s our micro talk show updates at www amok com,Emil Amok Guillermo,facebook
16,scientists coastal businesses environmental leaders and our neighbors are all worried about the impacts of the brookfield poseidon desalination plant in huntington beach if you love the ocean you should be too sign the petition to say no to this dangerous project,ORANGE COUNTY COASTKEEPER,facebook
17,gary griggs ucsc distinguished professor of earth sciences talks about why greenway is the best environmental choice for the unused rail corridor,YES Greenway,facebook
18,while california is the 1 state funding my opponent s senate campaign i m fighting for georgia we need your support today so that we can continue building momentum to win this race can we count on you to chip in 3 or 7 right now,"TEAM HERSCHEL, INC.",facebook
19,molinacares and aha sacramento are working to support women s heart health while improving health outcomes throughout california,The MolinaCares Accord,facebook
20,even though 12 republicans voted to cap the price of insulin at 35 month to consumers something that s badly needed for a lifesaving medicine my opponent stood against it selling out his diabetic constituents for big pharma price gouging profits i m running a people first campaign to bring real relief with medicare for all a green new deal and livable wages the california democratic party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for all will you join the cadp and chip in a few dollars to keep this fight going donations made today have the biggest impact on this campaign,DEREK MARSHALL FOR CONGRESS,facebook
21,while california is the 1 state funding my opponent s senate campaign i m fighting for georgia we need your support today so that we can continue building momentum to win this race can we count on you to chip in 10 or 34 right now,"TEAM HERSCHEL, INC.",facebook
23,as a psychiatric nurse jenn sees mental health crises every single day she ll fight for mental health in the ca assembly,ESTEEN RN FOR ASSEMBLY 2022,facebook
24,join us on saturday april 30th from 2 4pm at edison park for our stopposeidon write in brookfield poseidon s huntington beach desalination plant is an ecological boondoggle and we plan to ensure the public and the media hear about it,ORANGE COUNTY COASTKEEPER,facebook
25,fired up to stopposeidon join us on saturday april 30th from 2 4 pm at edison park to write a letter to governor newsom and the california coastal commission about how brookfield poseidon s desalination plant will raise water prices 400 how building a desalination plant in huntington beach will exacerbate inflation how building a desalination plant in huntington beach will destroy the beach and kill local wildlife how brookfield poseidon is a 650billion dollar company that still wants to take 1 4 billion from taxpayers rsvp before space runs out,ORANGE COUNTY COASTKEEPER,facebook
26,california is getting less safe by the day and the anti 2nd amendment pro defund the police politicians in power are accelerating the problem i need 35 more patriots in your zip code to sign this petition saying enough is enough before our state descends into anarchy can i count on you,Scott Baugh for Congress,facebook
27,support fair rates for california s ambulance first responders who have not received an increase since 1999 sign our petition today,California Ambulance Association ,facebook
28,the ca primary election is june 7th we need your support to ensure that anthony trimino is our next governor grandson of an immigrant who fled cuba he built one of the fastest growing companies in america and has the vision plan and heart to restore the american dream here in california we don t need another politician we need a ceo it s time to get away from politics and get down to business,Anthony Trimino For Governor 2022,facebook
29,after leading california through the pandemic seiu members in california are determined to fundamentally change the conditions of poverty and racism that put frontline workers and our communities in the virus crosshairs gavin newsom is the partner we need in the governor s office as workers fight to create our california for all david huerta president of seiu california and seiu united service workers west after meeting with members of different seiu locals throughout california members in california have endorsed governor gavin newsom for reelection this november,SEIU California,facebook
30,first the good news we just raised 1 000 000 for this campaign that s an incredible accomplishment for this grassroots team but now the bad news mike garcia s already raised over 3 000 000 this cycle we could be outspent on tv ads by 3 1 or more we won t be able to keep up unless we start to close that gap right now so if you re still reading this then please chip in 1 to help support our grassroots team,QUARTEY FOR CONGRESS,facebook
31,thecaliforniacoast buy a whale tail license plate and join the thousands of california drivers who protect our coast and ocean for a deeper dive visit www ecoplates com whaleonyourtail mycoast whaletailgrants californiacoast protectourcoastandocean whaleplate,California Coastal Commission Public Education Program,facebook
32,thecaliforniacoast the whale tail plate fund protects and restores the california coast and ocean for a deeper dive visit www ecoplates com whaleonyourtail mycoast whaletailgrants californiacoast protectourcoastandocean whaleplate,California Coastal Commission Public Education Program,facebook
33,thecaliforniacoast buy the iconic whale tail license plate to help protect our coast and ocean for a deeper dive visit www ecoplates com whaleonyourtail mycoast whaletailgrants californiacoast protectourcoastandocean whaleplate,California Coastal Commission Public Education Program,facebook
34,instead of paying people not to work let s get people back to work by cutting the cost of doing business in california and encouraging people to be self sufficient again,Reform California,facebook
35,desde la batalla de century city en california en 1990 justice for janitors ha sido el sinónimo de dignidad y respeto para miles de limpiadores y limpiadoras por todo el país,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),facebook
36,i m confident i m the right person for the state controller job i have a proven track record of managing high stake finances and saving people money i have a plan and i m ready to get to work yiuforyou,Yvonne Yiu for State Controller 2022,facebook
38,meet our water heros the metropolitan water district of southern california mwd their regional recycled water program will create over 47 000 jobs and produce enough water for 1 5 million people the solution to affordable clean water is as clear as the caribbean,Rebuild SoCal Partnership,facebook
39,the clean and healthy school bus act ab 2731 sets a goal of transitioning california school buses to all electric buses by 2035 this bill makes school transportation healthier for our children and our communities by promoting zero emission transportation that will protect developing lungs and save schools money 56 of californians in a recent poll support school bus electrification by 2035,Advanced Energy Works,facebook
40,as a person who cares for the protection of preborn children i need to make sure you know what s happening right now in our country and what you can do about it right away abortion activists are scared that the supreme court may soon overturn roe v wade so they are pulling out all the stops in their pursuit of a culture of death here are just a few of the items we are already seeing from their deadly wish list legalized infanticide has been openly proposed in colorado and maryland legislation california is trying to become a sanctuary state for abortion and is preparing to offer abortion scholarships to healthcare workers who have student loans telemedicine abortion the abortion pill is expanding via social media the u s postal service and anonymous chatbots that facilitate virtual abortions the goal of all of these deadly initiatives is to create a nation where a child s right to life is entirely dependent on the whims of others both pre and post birth and these abortion activists will succeed unless you do something to stop them we need to intercede daily for the lives at risk if we want to save babies today and cultivate a lasting culture of life tomorrow that s why we need to find 10 new monthly donors today to prevent abortion activist s deadly agenda for america from coming true click below to get started and save babies from abortion 365 days a year,Live Action,facebook
41,on the ucla campus hatred and bigotry directed against jews is at an all time high it is now almost commonplace for swastikas to appear in university halls and restrooms or scrawled on jewish fraternity houses hundreds of chapters of the hamas funded terrorist support group students for justice in palestine hold events promoting anti semitic speakers who spread terrorist propaganda describing israel created the same way lebanon jordan and iraq were created as a settler colonial state that engages in ethnic cleansing read more at frontpage magazine,David Horowitz Freedom Center,facebook
42,lower property taxes period i am working with several other assessors throughout california along with the jarvis gann group to increase the homeowner s exemption from 7 000 a year to 100 000 a year minimum this would give every homeowner almost a 1 000 a year reduction in their property taxes the state should have indexed the exemption in 1978 but they were greedy and did not if there was ever a time to help homeowners this is the time with inflation increased values and increases in interest rates gus this post promotion is paid for by re elect gus kramer for contra costa county assessor fppc 1442677 1020 west arlington way martinez ca 94553,Gus Kramer for Assessor,facebook
43,i am proud to have the endorsement of the california republican assembly the conscience of the republican party,Judge Steven Bailey for State Senate 2022,facebook
44,california freethought day combines the fun and atmosphere of a fair with the education and activism of a conference it s a festival of freethought,CALIFORNIA FREETHOUGHT DAY,facebook
45,i am proud to have the endorsement of the riverside county republican party working together we will return republican principles to the california board of equalization,Peterson for Board of Equalization 2022,facebook
46,my name is jay chen i m the navy veteran and democrat running against a far right republican in california s 45th district my parents were taiwanese immigrants who came to the u s because they loved this country and believed in the american dream but no matter how hard we worked they were still treated like foreigners by some and it s been disheartening to see anti asian sentiment worsen in recent years a big reason i m running for congress is to make sure our government reflects the diversity of our communities not just at face value but because the principles we were raised represent the very best that the u s has to offer service hard work and love of country if you can send in a donation of 10 35 or 50 to help us flip this seat,JAY CHEN FOR CONGRESS,facebook
47,help us build a new vision for california donate today peoplepower governor californialove luis4governor,Luis J. Rodriguez for CA Governor 2022,facebook
48,important article about the luis j rodriguez for california governor campaign in the fresno bee spread the word help make luis the second highest vote getter in the june 7 primary to challenge governor newsom through the november 8 final election remember anyone can vote you don t have to be registered green democrats other party members and independents are welcome to vote for luis the ballots will be at your home soon if not already vote by mail by following all instructions vote early here s article,Luis J. Rodriguez for CA Governor 2022,facebook
49,join us virtually for our monthly virtual open mic hosted by poet nia mcallister participate in an evening of spoken word featuring amazing local national and international poets all are welcome to either perform or just watch our featured poet tyanna braswell tyanna braswell she they is a black queer femme spoken word poet pan africanist and spiritualist born and raised in the bay area her work spans from several tours of california and beyond as well as collaboration with major and upcoming recording artists she serves communities of people of color through her work with youth underserved families as well as within her spiritual community she aims to use her platform to speak to for with the marginalized identities she exists within as well as to stand against those who contribute to the terror in this world with every offering she hopes to be welcomed and held by open hearts minds and ears aiming to leave all with grace as well as a call toward radical honesty compassion and accountability to themselves and the communities who need it most,,facebook
50,help me save california before its too late,JOE COLLINS FOR CONGRESS,facebook
51,the california dream has turned into a nightmare what if this was your child help me save california before it s too late please chip in 5 today www joeecollins3 com donate,JOE COLLINS FOR CONGRESS,facebook
52,as your da i ve worked hard to make contra costa a safer place for everyone that s why the democratic party east bay times agree reelect diana becton for da by june 7,Diana Becton for District Attorney 2022,facebook
53,show your support for climate action will you demand change with us,University of California,facebook
54,california s natural beauty makes it a special place to live and enjoy however these natural spaces have come under threat it is our responsibility to protect them sign the petition to urge our leaders to address california s environmental needs,RESOURCES LEGACY FUND,facebook
55,dyk a new study surveyed 170 of the existing climate action plans relating mostly to housing and transportation in california noting a rise in the inclusion of language around equity the study found however that 66 of the 170 plans they reviewed did not include any language about social equity learn more at healthyworldforall,,facebook
56,this weekend i went bass fishing with my grandson at santa maria river california and he surprised me with a question i never thought he would ask grandpa john do you have life insurance i was taken back for a moment because what kind of 7 year old would ask such a bold question rather than answering i simply asked him what made him think to ask me that he put his head down for a moment before looking at me with one eye squinted and said i heard my mom and dad talking about you and they re scared that if something happened to you we wouldn t have the money to pay the funeral man i could see he was worried i told him that everything would be fine and there was nothing to worry about the truth is i didn t have anything in place to protect them if something were to happen to me and they don t have 10 000 lying around to cover a sudden funeral cost either that was my responsibility one i hadn t owned up to yet i returned from our trip the next morning and called my friend who s a licensed field underwriter i almost paid for another insurance and then he told me that california residents ages 50 85 years old qualify for a new state regulated burial program that is designed to pay for our final expenses up to 25 000 tax free it was really simple they approved me almost instantly and they didn t even mind that i have some prior health conditions there was no blood work required no physical exam no doctors appointments or invasive requirements they provided day one coverage even covered my brother who s a diabetic that has been turned down for previous coverage thanks to this program i was able to tell my grandson and my family that everything will be fine when something happens to me if you would like to know if you also qualify for the program without any obligation click the learn more tab below,Andrea Marroquin,facebook
57,support republican christopher rodriguez for congress against democrat mike levin in southern california s 49th district oceanside camppendleton vista carlsbad encinitas delmar sanclemente danapoint sanjuancapo laderaranch lagunaniguela,RODRIGUEZ FOR CONGRESS,facebook
58,you can rise start with a free online personality test to learn your strengths and weaknesses tune in on directv firetv appletv roku facebook com scientologytv facebook com scientology youtube com scientology twitter com scientologytv bit ly getthemobileapp,Church of Scientology International,facebook
59,creating a more democratic organization is well worth the effort although there is much work for all of us to do there is also love and joy in doing it cfa president charles toombs read about cfa s move toward anti racism and social justice unionism,California Faculty Association,facebook
60,in the newly drawn 5th district which represents costa mesa a portion of irvine and south county coastal cities we enthusiastically back sen pat bates she s running against democratic supervisor katrina foley who now represents the 2nd district and two republicans businesswoman and former assemblywoman diane harkey and newport beach mayor kevin muldoon bates certainly has the most impressive resume among all the candidates having served as state senator since 2014 where she spent two years as senate republican leader she was on the board of supervisors from 2007 2014 and spent six years in the california state assembly but our choice isn t based solely on her experience we ve closely watched her career and while we ve sometimes disagreed with her votes we ve always been impressed with her thoughtfulness graciousness and integrity she operates in a low key manner that puts the nuts and bolts of governing above politicking the board needs her steady earnest approach after its series of scandals and oversight failures foley has done yeoman s work battling board secrecy but her endorsement list is a who s who of progressive groups and labor unions likewise harkey and muldoon both sound like wholly owned subsidiaries of the deputies union by contrast we know that voters can trust bates to be an independent and public spirited voice who isn t beholden to anyone we urge a vote for pat bates for 5th district supervisor orangecounty election2022 pat bates diane harkey for orange county supervisor,1962 PAC,facebook
61,emil guillermo is emil amok e294 national gop spreading anti asian lies earth day expanded twitter sale wdaaat emil s takes on everything aaf asian american filipino and all aax s it s our micro talk show updates at www amok com,Emil Amok Guillermo,facebook
62,i m will rollins a former counter terrorism prosecutor and democrat running to unseat far right republican ken calvert there are 3 things you should know about my opponent ken calvert 1 he attempted to overturn the 2020 election results 2 donald trump has formally given calvert his complete and total endorsement 3 redistricting made him one of the most vulnerable republicans in congress it s time to hold calvert accountable can you chip in 5 35 or even 100 to help flip ca 41 from red to blue and send ken calvert packing,WILL ROLLINS FOR CONGRESS,facebook
63,on this episode of bpc weekly representative scott peters of california s 52nd district stops by to discuss his efforts to limit methane leaks in natural gas production and makes the national security case for transitioning to renewable energy,"BIPARTISAN POLICY CENTER, INC.",facebook
64,attention renters who want to own get an extra 308 month to put towards a home thanks to this little known relief program helping people save money,,facebook
65,parks and recreation actor endorses local thousand oaks resident anthony angelini for position on conejo rec and park board voteangelini anthonyangelini com,ANGELINI FOR CONEJO RECREATION AND PARK DISTRICT BOARD OF DIRECTORS 2022,facebook
66,katie porter here i m facing what could be my toughest race since first being elected2018 since redistricting the new 47th district in california is made up of a near equal number of registered democrats and republicans making it one of the most important swing districts in the country and two thirds of these voters are brand new to me 𝐈𝐭 𝐬 𝐭𝐢𝐦𝐞 𝐭𝐨 𝐫𝐚𝐦𝐩 𝐮𝐩 𝐨𝐮𝐫 𝐯𝐨𝐭𝐞𝐫 𝐨𝐮𝐭𝐫𝐞𝐚𝐜𝐡 𝐞𝐟𝐟𝐨𝐫𝐭𝐬 𝐚𝐧𝐝 𝐈 𝐧𝐞𝐞𝐝 𝐲𝐨𝐮𝐫 𝐡𝐞𝐥𝐩 𝐭𝐨 𝐝𝐨 𝐢𝐭 we re relying on our grassroots donors to help fuel our work to reach these swing voters because winning this race is crucial democrats hold the house majority by just a few seats the slimmest majority either party has had in twenty years 𝐈𝐟 𝐲𝐨𝐮 𝐜𝐚𝐧 𝐜𝐡𝐢𝐩 𝐢𝐧 𝐣𝐮𝐬𝐭 𝟓 𝐭𝐨𝐝𝐚𝐲 𝐰𝐞 𝐥𝐥 𝐛𝐞 𝐚𝐛𝐥𝐞 𝐭𝐨 𝐫𝐞𝐚𝐜𝐡 𝟑𝟎 𝐧𝐞𝐰 𝐯𝐨𝐭𝐞𝐫𝐬 𝐰𝐢𝐭𝐡 𝐨𝐮𝐫 𝐦𝐞𝐬𝐬𝐚𝐠𝐞 can you donate today to help us win in november and hold the house majority,Katie Porter For Congress ,facebook
67,every year 4 5 trillion cigarette butts are dumped in the environment every year polluting our planet and contributing to the killing of marine life and they re not made of harmless paper or cotton they re made of a microplastic cellulose acetate that never completely decomposes learn more about plastic cigarette butts,,facebook
68,to end poverty in california those feeling the pain should have the power to make change join us we re making sure people in poverty are valued listened to and invested in by elected officials,End Poverty in California,facebook
69,people in poverty are stereotyped and blamed instead we need bold new policies that respond to people s needs it s time to tell the real story about poverty in california,End Poverty in California,facebook
70,don t buy into the myths we hear about poverty poverty is a policy choice not a personal choice we re taking bold action so all californians have the opportunities they need to thrive,End Poverty in California,facebook
71,california s coastline is being devastated by this oil spill let s make sure it never happens again call on president biden and governor newsom to stop permitting new oil and gas wells,Stand.earth,facebook
72,please join us to hear from grace park bradbury who is the west coast general manager for blocpower there is no charge but you must register here blocpower is a climate technology company with the goal of making american cities smarter greener and healthier the company started in 2014 in brooklyn new york and has since retrofitted more than 1 000 buildings in disadvantaged communities in new york city with more projects occurring in several other us cities we will learn about the inspiring story behind donnel baird who is blocpower s ceo and founder why building electrification is essential to mitigating the climate crisis and the important role climate justice plays our speaker will also discuss blocpower s business model their role in the ithaca electrification effort and whether these approaches have been used or could be used in california there will be time for questions from the audience this presentation is being hosted by the north county climate change alliance and the san diego building electrification coalition,North County Climate Change Alliance,facebook
73,thank you california directors for your support i will work hard to make you proud,Ohio REALTORS,facebook
74,thank you california directors for your endorsement i will work hard to make you proud,Ohio REALTORS,facebook
75,april is fairhousingmonth swipe right to learn more about what this month represents in the struggle for housing,TIPPING POINT COMMUNITY,facebook
76,april is fairhousingmonth click through the photos below to learn more about what this month represents in the struggle for housing,TIPPING POINT COMMUNITY,facebook
77,absolutely absurd after imposing the highest gas and car tax in the nation in the name of fixing roads ca democrats now want to cancel those road fixes because freeways are racist nonsense,Reform California,facebook
78,california law requires that compostable materials be kept out of landfills in response to the climate crisis but do you know why sorting your food scraps and other compostable material is beneficial our environmental services division breaks down why this easy step is so important sb1383 earthday2022,,facebook
79,thank you for your support on first 5 advocacy day society thrives when children thrive it s time for california to ensure our youngest children are healthy safe ready to succeed in school and life learn more at first 5 association of california f5ad wholechildwholefamily,Cornerstone Communications,facebook
80,candidate forums are intended to provide the public with an opportunity to learn about the candidates and their views on the issues that are important in our community questions for the candidates may be submitted up until two days before the scheduled date of a forum by emailing lwvbutte gmail com due to time constraints and the number of candidates not all questions may be asked questions should be on the issues and applicable to all candidates no personal attacks or biased questions will be accepted for additional information about candidates and ballot measures please go to these forums will be held virtually via zoom recordings will be made available for viewing following each forum on the lwvbc website the link below is for watching the candidate forum live apr 28 2022 at 07 00pm county assessor candidate forum webinar id 828 6381 6960 for more information contact lwvbc at 530 895 8683 or by email at lwvbutte gmail com or go to the league website at,Jane Frances Heinen Wanderer,facebook
81,the golden state just hit an energy milestone,Resource Media,facebook
82,states like california and washington are looking to reduce air pollution and are embracing electric vehicles,Resource Media,facebook
83,thank you to the california republican assembly cra for their overwhelming endorsement for ventura county supervisor district 2 district 2 includes westlake village newbury park oak park thousand oaks somis santa rosa valley lake sherwood hidden valley las posas eastern camarillo the cra selects the candidate that best demonstrates the qualifications of a conservative republican including low taxes small government school choice term limits sanctity of life right to bear arms and more californiarepublicanassembly,McCarthy for Supervisor 2022,facebook
84,in case you missed it california lawmakers nazarian and lee influenced by animal extremist groups california lawmakers introduce legislation against animal feeding operations and processing facilities on february 18 2022 california state assembly members nazarian and lee introduced ab 2764 if passed this bill will ban new animal feeding operations and processing in the state of california the legislation will also prohibit feeding operations and processing plants from expanding to meet demand for nutritious animal protein products if made into law this would add chapter 4 to part 1 of division 9 of the food and agricultural code relating to animals this bill was pushed by radical animal extremist groups direct action everywhere dxe and compassionate bay via their nomorefactoryfarms campaign dxe celebrates the radical animal extremist group dxe celebrated the introduction of ab 2764 with a social media post dxe is a group well known for its animal liberation ideology and agenda the group has factions across the country where they stage and perform protests thefts of animals and mob farm invasions recently the group s founder wayne hsuing was found guilty of trespass and theft adrin nazarian nazarian is a california state assembly member representing the 46th district this district covers the san fernando valley and includes hollywood hills lake balboa north hills north hollywood panorama city sherman oaks studio city toluca lake valley glen universal city van nuys and valley village his bio on his official website shows that he has a degree in economics therefore he clearly understands the impact this legislation will have on lawful businesses in the state that help to feed his own constituents based on numerous articles about nazarian and his activities is it clear is has aligned and created a strong partnership with radical animal extremist groups like dxe physicians committee for responsible medicine prcm animal hope in legislation animal legal defense fund friends of the earth social compassion in legislation and sierra club california he has also received endorsements from jerry brown and kamala harris who have also pushed legislation that is harmful to rural america rural property owners and animal agriculture his endorsements also include a long list of hollywood actors known for their affiliations with radical animal extremist groups vegan school lunches nazarian also authored ab 558 a bill that impacts school lunches which was pushed by the radical animal extremist group physicians committee for responsible medicine according to an article in businesswire the bill incentivizes k 12 public schools across the state to offer healthier climate friendly plant based meals and beverages ab 558 passed the california assembly courtroom advocates for animals furthermore nazarian introduced ab 2645 last year which may be heard in committee in march 2022 if passed ab 2645 would allow judges to appoint courtroom advocates to animals this is highly problematic as it provides an opening to providing personhood for animals the ramifications of this are multifold the american veterinary medical association has this bill on its watch list with the following statement the avma will keep a close eye on whether legislation allows for a court to appoint an advocate utilizing the legal standard of in the interests of the animal involved versus the standard of the interests of justice in the interest of the animal is a different legal standard than in the interest of justice and they have very different implications in the interest of justice includes notions of fairness societal interests for the humane treatment of animals and the interest of the owner while in the interest of the animal is an attempt to require courts to apply the same types of standards as they would for a child alex lee alex lee represents california s 25th assembly district his district covers both alameda and santa clara counties it includes the communities of fremont newark milpitas san jose and santa clara assembly member lee was elected in 2020 and has called the san francisco bay area home his entire life lee was also endorsed by the sierra club and his campaign website states he is fighting for enacting the green new deal and building sustainable communities his activities show partnership with extremist groups like peace 4 animals friends of the earth and social compassion in legislation for animals lee authored house resolution 61 which alarmingly refers to animal owners as guardians the american veterinary medical board addressed this very concern in 2005 this is a small portion of avma s stance some animal owners may like to refer to themselves as pet guardians however guardian is a legal term that has significant legal implications and repercussions its use to describe the relationship between animals and their owners is inappropriate under well developed principles of guardianship law guardianship is a fiduciary relationship the highest legal civil duty owed by one person to another the ward s interests are always to prevail over those of the guardian some conflicts that arise from application of human guardianship law to animals are described in the text that follows on the basis of these conflicts the american veterinary medical association avma recommends that guardian not be adopted even to semantically describe the relationship between humans and their animals the american kennel club expressed concerns about hr 61 and stated contact the author assembly member alex lee and respectfully express your concerns with hr 61 let him know that you agree that all animals should be treated in a humane and safe manner and explain how the broad definitions in hr 61 could encompass procedures that are important for your dogs breed why are two california assembly members who clearly have no background in agriculture and who represent urban and suburban communities writing legislation that will impact agriculture and rural communities summary of ab 2764 this bill would prohibit commercial animal feeding operations and slaughterhouses as defined from commencing or expanding operations except as specified the bill would make any person that violates this prohibition civilly liable for a penalty in an amount not to exceed a sum of 10 000 per violation per day but specify that a violation of this prohibition is not a crime language of ab 2764 the people of the state of california do enact as follows section 1 chapter 4 commencing with section 16600 is added to part 1 of division 9 of the food and agricultural code to read chapter 4 moratorium on commercial animal feeding operations and slaughterhouses 16600 for purpose of this chapter the following definitions apply a animal feeding operation means a lot or facility that meets both of the following requirements 1 for not less than a total of 45 days in any 12 month period animals including aquatic animals are stabled or confined and fed or maintained at the lot or facility 2 crops vegetation forage growth or postharvest residues are not sustained in the normal growing season over a portion of the lot or facility b commercial animal feeding operation means an animal feeding operation that sells for commercial gain an animal food product including meat dairy eggs organs or other byproducts that the animal feeding operation produces and that has annual revenues of one hundred thousand dollars 100 000 or more c slaughterhouse means a facility where the slaughtering of meat from animals including chickens turkeys pigs cattle ducks sheep and other livestock takes place and that has annual revenues of one hundred thousand dollars 100 000 or more 16601 a notwithstanding any other law and beginning january 1 2023 a commercial animal feeding operation or slaughterhouse shall not commence or expand operations b this section does not prohibit a person from completing construction including expansion of a commercial animal feeding operation or slaughterhouse if the person had begun the construction or expansion before january 1 2023 16602 a any person that violates this chapter is civilly liable for a penalty in an amount not to exceed a sum of ten thousand dollars 10 000 per violation per day b 1 if after examination of a complaint by the secretary or a member of the public and of the evidence the attorney general believes a violation of this chapter has occurred the attorney general shall bring an action for civil penalties or an injunction in the name of the people of this state in a court of competent jurisdiction against any person violating this chapter 2 if acting upon the attorney general s own initiative the attorney general believes a violation of this chapter has occurred the attorney general may bring an action for civil penalties or an injunction in the name of the people of this state in a court of competent jurisdiction against any person violating this chapter 3 an action for an injunction brought pursuant to this subdivision shall conform to the requirements of chapter 3 commencing with section 525 of title 7 of part 2 of the code of civil procedure except the secretary shall not be required to allege facts necessary to show or tending to show lack of adequate remedy at law or to show or tending to show irreparable damage or loss 16603 section 16421 does not apply to a violation of this chapter what you can do if you have concerns about this legislation we encourage you to speak up it is always helpful to contact your own representatives as well as the representatives who authored and sponsored concerning legislation they need to know how their ideals will impact your business and family nazarian contact information capitol office p o box 942849 sacramento ca 94249 0046 tel 916 319 2046 fax 916 319 2146 district office 6150 van nuys blvd suite 300 van nuys ca 91401 tel 818 376 4246 fax 818 376 4252 lee contact information capitol office state capitol room 2170 p o box 942849 sacramento ca 94249 0025 tel 916 319 2025 fax 916 319 2125 district office 1313 n milpitas blvd suite 255 milpitas ca 95035 tel 408 262 2501 fax 408 262 2512 for links to sources and more information visit this article on our website,Karen Elizabeth Glueck,facebook
85,here are some of the ways propane is a cleaner and greener alternative to electricity,,facebook
