,text,advertiser_name,platform,words,m_label
24,donate to elect shrina kurani as ca 41 s first congresswoman of color ken calvert is what s wrong in washington elect shrina kurani to congress,Shrina Kurani For Congress,google,donate,donation
25,the filibuster stands in the way we need to fix or nix the filibuster you can help,Democracy Initiative,google,filibuster,governance
26,states are passing laws to silence voters federal standards would put a stop to it,Democracy Initiative,google,laws,governance
27,community health centers share a mission to serve anyone who walks through their doors more than 1 in 5 californians rely on community health centers for their medical needs,"CALIFORNIANS TO PROTECT PATIENTS AND CONTAIN HEALTH CARE COSTS, A COALITION OF PHYSICIANS, DENTISTS AND HEALTH CARE INSURERS AND PROVIDERS",google,health,health
28,kiley proposed the bill to suspend the state s gas tax which the assembly voted down kevin kiley fought against the state s sanctuary state law and stood up to the democrats,KEVIN KILEY FOR CONGRESS,google,"tax,sanctuary,law","economic,governance,immigration"
29,when covid hit katie porter led the charge for free testing for every american then she went to work to hold corporations and the government accountable to taxpayers,KATIE PORTER FOR CONGRESS,google,"taxpayers,covid,testing","covid,economic"
30,a proven track record of developing effective strategies to reduce neighborhood crime as chief of police bob implemented innovative programs to combat the mental health crisis,Bob Jonsen for Sheriff of Santa Clara County 2022,google,"health crisis,health,police","health,safety"
31,the california congresswoman has working parents cheering and ceos quaking fast company fed up with the status quo katie porter is putting congress to work for oc families,KATIE PORTER FOR CONGRESS,google,"fed,ceos",economic
32,greg tanaka will fight in congress to stop inflation congress continues to print and spend trillions of dollars without regards to inflation,Greg Tanaka for Congress,google,inflation,economic
33,mark has been involved in over 25 lawsuits against covid lockdowns and vaccine mandates help him continue the fight for the constitution by supporting him for u s senate,MARK MEUSER FOR U.S. SENATE,google,"covid,constitution,vaccine mandates,vaccine","covid,governance"
34,don t settle for the status quo elect dave myers for sheriff,Dave Myers for Sheriff 2022,google,no words,no topic
35,take action corp prop would legalize an expansion of online sports gambling in ca a broad coalition of ca indian tribes opposes this online gambling prop learn more,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,tribes,social and cultural
36,democrat emily beach is a veteran mom and former mayor learn more about her congressional campaign today,Emily Beach for Congress,google,no words,no topic
37,don t settle for the status quo elect dave myers for sheriff come june 7th 2022 ad paid for by dave myers for san diego county sheriff 2022 fppc id 1436219,Dave Myers for Sheriff 2022,google,no words,no topic
38,rep katie porter is fighting to lower health care costs she s holding prescription drug companies accountable for price gouging patients,KATIE PORTER FOR CONGRESS,google,"prescription,prescription drug,care costs,health care,health",health
39,the initiative will generate millions annually to uplift california tribal nations our measure would guarantee funding for homelessness and mental health support in ca,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",google,"health,homelessness","economic,health,safety"
40,i m taking on corporate interests and washington corruption to protect taxpayers that s what orange county deserves,KATIE PORTER FOR CONGRESS,google,"taxpayers,corruption","economic,governance"
41,he s running for congress to help restore the republican majority u0026 stop the radical left help matt stoll make it easier to vote u0026 harder to cheat join him now,MATT STOLL FOR CONGRESS,google,no words,no topic
42,contact our team today salud carbajal s team has helped hundreds with irs social security va and more,Rep. Salud Carbajal - U.S. HOUSE OF REPRESENTATIVES,google,"irs,social security","economic,social programs"
43,the filibuster is used to block protections for our democracy it s time to fix or nix it it s been a year since january 6 but the senate hasn t acted to protect our elections,Democracy Initiative,google,filibuster,governance
44,it s been a year since january 6 but the senate hasn t acted to protect our elections the filibuster is used to block protections for our democracy it s time to fix or nix it,Democracy Initiative,google,filibuster,governance
45,the fate of the house majority relies on ca 45 ca 45 is the 1 toss up race in the country,MICHELLE STEEL FOR CONGRESS,google,no words,no topic
46,gavin newsom has done nothing to address the rise in crime and homelessness in our state donate to support michael shellenberger for governor it s time to restore california,SHELLENBERGER FOR GOVERNOR 2022,google,"homelessness,donate,rise in crime","donation,economic,safety"
47,california s 47th congressional district,KATIE PORTER FOR CONGRESS,google,no words,no topic
48,katie porter is delivering results for families in orange county she s led the charge to crack down on corruption and lower costs for working people,KATIE PORTER FOR CONGRESS,google,corruption,governance
49,gavin is a champion for california values from education to protecting civil rights donate today to re elect gavin as governor and keep california leading the country,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,google,"donate,education","donation,education"
50,donate now to re elect gavin as governor and keep california blue republicans are doing whatever it takes to stop us donate now to help us fight back,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,google,donate,donation
51,he s running for congress to help restore the republican majority u0026 stop the radical left,MATT STOLL FOR CONGRESS,google,no words,no topic
52,katie porter is taking on washington corruption and putting orange county families first,KATIE PORTER FOR CONGRESS,google,corruption,governance
53,take action corp prop would legalize an expansion of online sports gambling in ca a broad coalition of ca indian tribes opposes the corp online gambling prop learn more,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",google,tribes,social and cultural
54,defending the american dream takes grit matt jacobs has what it takes,MATT JACOBS FOR CONGRESS,google,no words,no topic
55,dave myers is the right guy for the job,Dave Myers for Sheriff 2022,google,no words,no topic
56,our government isn t working for us we need politicians who will stand up for the people not private companies and their own pockets learn more about our progressive agenda today,ANGELICA DUENAS FOR US,google,no words,no topic
57,ad paid for by dave myers for san diego county sheriff 2022 fppc id 1436219,Dave Myers for Sheriff 2022,google,no words,no topic
58,counter terrorism prosecutor matt jacobs knows how to fight for america support here,MATT JACOBS FOR CONGRESS,google,counter terrorism,foreign policy
59,learn more about shawn s common sense solutions to keep the california dream alive,Shawn Collins for California,google,no words,no topic
60,california,MATT STOLL FOR CONGRESS,google,no words,no topic
61,greg tanaka will fight in congress to stop inflation our government must take initiative to help those affected by the rising inflation rate,Greg Tanaka for Congress,google,inflation,economic
62,michael will lead the movement to finally fix the humanitarian crisis of homelessness it s time to unite california under the leadership of michael shellenberger for governor,SHELLENBERGER FOR GOVERNOR 2022,google,homelessness,"economic,safety"
63,add your name to join the movement powering his campaign for a better safer la sign on to personally endorse rick caruso s campaign for los angeles mayor,Rick Caruso for Mayor 2022,google,no words,no topic
64,legalize online sports betting for adults 21 and over in california join the movement our measure would guarantee 100m each year to fight homelessness in ca,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",google,homelessness,"economic,safety"
65,add your name to join the movement powering his campaign for a better safer la help us elect rick caruso as los angeles new mayor,Rick Caruso for Mayor 2022,google,no words,no topic
66,thanks to governor newsom california is leading in vaccines and its economy is strong chip in today to re elect gavin newsom and keep california blue,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,google,"economy,chip in,vaccines","donation,economic,social programs"
67,there s no greater priority than defending democracy you can help,Democracy Initiative,google,no words,no topic
68,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide there s no greater priority than defending democracy you can help,Democracy Initiative,google,laws,governance
69,save california chip in here the house majority relies on this seat,MICHELLE STEEL FOR CONGRESS,google,chip in,donation
70,er null null null null 404 null null null 5,David Alvarez for Assembly 2022 Special Election,google,no words,no topic
71,gascon s dangerous pro criminal agenda puts criminals first and victims last district attorney gascón s policies are lenient on crime and blatantly pro criminal,RECALL DISTRICT ATTORNEY GEORGE GASCON,google,criminal,safety
72,it is awesome to have the support of the california nurses association what they have been through in this pandemic is unreal if hospitals are going to continue not paying property taxes they must treat our nurses better,Braden Murphy for State Board of Equalization 2022  ,facebook,"pandemic,taxes","covid,economic"
73,when the other candidate rides the coat tails of other establishment politicians i ride in on my experience dedication and support from the people transparency and credibility ad5 california,Jason Paletta for CA Secretary of State,facebook,no words,no topic
74,seydi has worked with san fernando valley communities for 20 years she understands the issues we are facing and she s prepared to advocate for us in sacramento vote for seydi because she pledges toward fixing homelessness housing education small business access to healthcare most importantly she pledges to listen to her constituents vote for seydi alejandra morales for state senate district 20 starting may 9th,Seydi Alejandra Morales for Senate 2022,facebook,"healthcare,homelessness,small business,education","economic,education,health,safety"
75,learn more about our efforts to find solutions that will protect our planet while building a more equitable future for ca families,Environmental Solutions Coalition,facebook,"equitable,our planet",environment
76,special interests like 𝗥𝗲𝗰𝗼𝗹𝗼𝗴𝘆 are exploiting environmental problems for their own profits the san francisco based garbage and recycling giant was fined 36 million in a public corruption scandal after it admitted to bribery allegations related to overcharging customers 100 million don t let special interests make up for lost profits by raising taxes on california taxpayers,Environmental Solutions Coalition,facebook,"taxpayers,taxes,corruption","economic,governance"
77,across our state working families and people on fixed incomes are already struggling to make ends meet tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families,Environmental Solutions Coalition,facebook,"incomes,taxes,legislator","economic,governance"
78,the open primary is on june 7th you can vote for any candidate on the ballot no matter the party let s all show the extremists who have taken over washington dc and california that together across party lines we are taking back our country there s a better way,Gonzales For Congress 2022,facebook,extremists,social and cultural
79,the cost of housing is skyrocketing and our communities are suffering vote rn jennifer esteen for ca state assembly,ESTEEN RN FOR ASSEMBLY 2022,facebook,no words,no topic
80,rep david valadao is fighting to suspend the gas tax in california to help families and farmers just like governor larry hogan already did in maryland if you agree join an america united today and help fight for real solutions to america s problems,An America United,facebook,tax,economic
81,rep david valadao is fighting to make america less dependent on foreign energy an america united believes america should harness its resources to become energy independent do you agree sign up today,An America United,facebook,"energy independent,foreign","environment,foreign policy"
82,i am excited to announce my re election campaign for california s new 6th congressional district i look forward to continue working for sacramento county,BERA FOR CONGRESS,facebook,no words,no topic
83,i ve officially filed to run in california s new 6th congressional district and would be honored to earn your vote in the june primary election let s keep pushing sacramento county forward,BERA FOR CONGRESS,facebook,no words,no topic
84,i ll be honest we re behind where we need to be to hit this april fundraising goal defeating my trump backed republican opponent is going to take the solidarity and support of people from all walks of life i m running a people first campaign to bring real relief with medicare for all a green new deal and livable wages the california democratic party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for all will you join the cadp and chip in a few dollars to keep this fight going donations made today have the biggest impact on this campaign,DEREK MARSHALL FOR CONGRESS,facebook,"wages,chip in,green new deal,medicare for all,medicare,green new,new deal","donation,economic,environment,social programs"
85,california rifle pistol association is fighting at the supreme court but we need your immediate support to defend the second amendment,CALIFORNIA RIFLE & PISTOL ASSOCIATION INC,facebook,supreme court,governance
86,sheriffs shouldn t interfere with cause of death rulings in officer involved deaths but they do in ca ab1608 aims to fix that by making coroner and sheriff officers separate all families who lost their loved ones to police deserve unbiased medical investigations ten counties in california already do this make this statewide take action using the link in our bio follow us for the latest updates,ACLU California Action,facebook,"officers,police",safety
87,emil guillermo is emil amok e295 musk is making it private deal breaker filipinos in u s vote in ca 45 race steel s racism wdaaat emil s takes on everything aaf asian american filipino and all aax s it s our micro talk show updates at www amok com,Emil Amok Guillermo,facebook,racism,social and cultural
88,scientists coastal businesses environmental leaders and our neighbors are all worried about the impacts of the brookfield poseidon desalination plant in huntington beach if you love the ocean you should be too sign the petition to say no to this dangerous project,ORANGE COUNTY COASTKEEPER,facebook,desalination plant,environment
89,gary griggs ucsc distinguished professor of earth sciences talks about why greenway is the best environmental choice for the unused rail corridor,YES Greenway,facebook,no words,no topic
90,while california is the 1 state funding my opponent s senate campaign i m fighting for georgia we need your support today so that we can continue building momentum to win this race can we count on you to chip in 3 or 7 right now,"TEAM HERSCHEL, INC.",facebook,chip in,donation
91,molinacares and aha sacramento are working to support women s heart health while improving health outcomes throughout california,The MolinaCares Accord,facebook,health,health
92,even though 12 republicans voted to cap the price of insulin at 35 month to consumers something that s badly needed for a lifesaving medicine my opponent stood against it selling out his diabetic constituents for big pharma price gouging profits i m running a people first campaign to bring real relief with medicare for all a green new deal and livable wages the california democratic party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for all will you join the cadp and chip in a few dollars to keep this fight going donations made today have the biggest impact on this campaign,DEREK MARSHALL FOR CONGRESS,facebook,"medicine,wages,chip in,insulin,green new deal,big pharma,medicare for all,medicare,green new,consumers,new deal","donation,economic,environment,health,social programs"
93,while california is the 1 state funding my opponent s senate campaign i m fighting for georgia we need your support today so that we can continue building momentum to win this race can we count on you to chip in 10 or 34 right now,"TEAM HERSCHEL, INC.",facebook,chip in,donation
94,on monday meta announced that it was opening its first retail showroom the location at the company s burlingame california campus would sell its oculus virtual reality headsets to promote its most ambitious idea so far the metaverse facebook as it was originally called before it adopted the name meta is taking its initial steps through a physical location to popularize a virtual world,CWEB Inc.,facebook,no words,no topic
95,as a psychiatric nurse jenn sees mental health crises every single day she ll fight for mental health in the ca assembly,ESTEEN RN FOR ASSEMBLY 2022,facebook,health,health
96,join us on saturday april 30th from 2 4pm at edison park for our stopposeidon write in brookfield poseidon s huntington beach desalination plant is an ecological boondoggle and we plan to ensure the public and the media hear about it,ORANGE COUNTY COASTKEEPER,facebook,"ecological,desalination plant",environment
97,fired up to stopposeidon join us on saturday april 30th from 2 4 pm at edison park to write a letter to governor newsom and the california coastal commission about how brookfield poseidon s desalination plant will raise water prices 400 how building a desalination plant in huntington beach will exacerbate inflation how building a desalination plant in huntington beach will destroy the beach and kill local wildlife how brookfield poseidon is a 650billion dollar company that still wants to take 1 4 billion from taxpayers rsvp before space runs out,ORANGE COUNTY COASTKEEPER,facebook,"inflation,wildlife,taxpayers,desalination plant","economic,environment"
98,california is getting less safe by the day and the anti 2nd amendment pro defund the police politicians in power are accelerating the problem i need 35 more patriots in your zip code to sign this petition saying enough is enough before our state descends into anarchy can i count on you,Scott Baugh for Congress,facebook,"2nd amendment,police",safety
99,support fair rates for california s ambulance first responders who have not received an increase since 1999 sign our petition today,California Ambulance Association ,facebook,fair rates,economic
100,the ca primary election is june 7th we need your support to ensure that anthony trimino is our next governor grandson of an immigrant who fled cuba he built one of the fastest growing companies in america and has the vision plan and heart to restore the american dream here in california we don t need another politician we need a ceo it s time to get away from politics and get down to business,Anthony Trimino For Governor 2022,facebook,no words,no topic
101,after leading california through the pandemic seiu members in california are determined to fundamentally change the conditions of poverty and racism that put frontline workers and our communities in the virus crosshairs gavin newsom is the partner we need in the governor s office as workers fight to create our california for all david huerta president of seiu california and seiu united service workers west after meeting with members of different seiu locals throughout california members in california have endorsed governor gavin newsom for reelection this november,SEIU California,facebook,"racism,workers,pandemic,virus","covid,economic,social and cultural"
102,first the good news we just raised 1 000 000 for this campaign that s an incredible accomplishment for this grassroots team but now the bad news mike garcia s already raised over 3 000 000 this cycle we could be outspent on tv ads by 3 1 or more we won t be able to keep up unless we start to close that gap right now so if you re still reading this then please chip in 1 to help support our grassroots team,QUARTEY FOR CONGRESS,facebook,chip in,donation
103,thecaliforniacoast buy a whale tail license plate and join the thousands of california drivers who protect our coast and ocean for a deeper dive visit www ecoplates com whaleonyourtail mycoast whaletailgrants californiacoast protectourcoastandocean whaleplate,California Coastal Commission Public Education Program,facebook,coast and ocean,environment
104,thecaliforniacoast the whale tail plate fund protects and restores the california coast and ocean for a deeper dive visit www ecoplates com whaleonyourtail mycoast whaletailgrants californiacoast protectourcoastandocean whaleplate,California Coastal Commission Public Education Program,facebook,coast and ocean,environment
105,thecaliforniacoast buy the iconic whale tail license plate to help protect our coast and ocean for a deeper dive visit www ecoplates com whaleonyourtail mycoast whaletailgrants californiacoast protectourcoastandocean whaleplate,California Coastal Commission Public Education Program,facebook,coast and ocean,environment
106,instead of paying people not to work let s get people back to work by cutting the cost of doing business in california and encouraging people to be self sufficient again,Reform California,facebook,doing business,economic
107,desde la batalla de century city en california en 1990 justice for janitors ha sido el sinónimo de dignidad y respeto para miles de limpiadores y limpiadoras por todo el país,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),facebook,no words,no topic
108,i m confident i m the right person for the state controller job i have a proven track record of managing high stake finances and saving people money i have a plan and i m ready to get to work yiuforyou,Yvonne Yiu for State Controller 2022,facebook,stake finances,economic
109,daily news brief for tuesday april 26th 2022 macron wins french presidency is desantis really fighting zoo animal covid shots two spirit job listing at u of waterloo psalm 148 help support us join the club fight cancel culture,CrossPolitic Studio LLC,facebook,covid,covid
110,meet our water heros the metropolitan water district of southern california mwd their regional recycled water program will create over 47 000 jobs and produce enough water for 1 5 million people the solution to affordable clean water is as clear as the caribbean,Rebuild SoCal Partnership,facebook,jobs,economic
111,the clean and healthy school bus act ab 2731 sets a goal of transitioning california school buses to all electric buses by 2035 this bill makes school transportation healthier for our children and our communities by promoting zero emission transportation that will protect developing lungs and save schools money 56 of californians in a recent poll support school bus electrification by 2035,Advanced Energy Works,facebook,"transportation,school","economic,education"
112,as a person who cares for the protection of preborn children i need to make sure you know what s happening right now in our country and what you can do about it right away abortion activists are scared that the supreme court may soon overturn roe v wade so they are pulling out all the stops in their pursuit of a culture of death here are just a few of the items we are already seeing from their deadly wish list legalized infanticide has been openly proposed in colorado and maryland legislation california is trying to become a sanctuary state for abortion and is preparing to offer abortion scholarships to healthcare workers who have student loans telemedicine abortion the abortion pill is expanding via social media the u s postal service and anonymous chatbots that facilitate virtual abortions the goal of all of these deadly initiatives is to create a nation where a child s right to life is entirely dependent on the whims of others both pre and post birth and these abortion activists will succeed unless you do something to stop them we need to intercede daily for the lives at risk if we want to save babies today and cultivate a lasting culture of life tomorrow that s why we need to find 10 new monthly donors today to prevent abortion activist s deadly agenda for america from coming true click below to get started and save babies from abortion 365 days a year,Live Action,facebook,"healthcare,wade,sanctuary,workers,infanticide,student,scholarships,roe,supreme court,loans,overturn roe,roe v wade,abortions,abortion","economic,education,governance,health,immigration,social and cultural,social programs"
113,on the ucla campus hatred and bigotry directed against jews is at an all time high it is now almost commonplace for swastikas to appear in university halls and restrooms or scrawled on jewish fraternity houses hundreds of chapters of the hamas funded terrorist support group students for justice in palestine hold events promoting anti semitic speakers who spread terrorist propaganda describing israel created the same way lebanon jordan and iraq were created as a settler colonial state that engages in ethnic cleansing read more at frontpage magazine,David Horowitz Freedom Center,facebook,"lebanon,israel,palestine,hamas,jordan",foreign policy
114,lower property taxes period i am working with several other assessors throughout california along with the jarvis gann group to increase the homeowner s exemption from 7 000 a year to 100 000 a year minimum this would give every homeowner almost a 1 000 a year reduction in their property taxes the state should have indexed the exemption in 1978 but they were greedy and did not if there was ever a time to help homeowners this is the time with inflation increased values and increases in interest rates gus this post promotion is paid for by re elect gus kramer for contra costa county assessor fppc 1442677 1020 west arlington way martinez ca 94553,Gus Kramer for Assessor,facebook,"inflation,taxes,exemption",economic
115,i am proud to have the endorsement of the california republican assembly the conscience of the republican party,Judge Steven Bailey for State Senate 2022,facebook,no words,no topic
116,california freethought day combines the fun and atmosphere of a fair with the education and activism of a conference it s a festival of freethought,CALIFORNIA FREETHOUGHT DAY,facebook,"atmosphere,education","education,environment"
117,i am proud to have the endorsement of the riverside county republican party working together we will return republican principles to the california board of equalization,Peterson for Board of Equalization 2022,facebook,no words,no topic
118,my name is jay chen i m the navy veteran and democrat running against a far right republican in california s 45th district my parents were taiwanese immigrants who came to the u s because they loved this country and believed in the american dream but no matter how hard we worked they were still treated like foreigners by some and it s been disheartening to see anti asian sentiment worsen in recent years a big reason i m running for congress is to make sure our government reflects the diversity of our communities not just at face value but because the principles we were raised represent the very best that the u s has to offer service hard work and love of country if you can send in a donation of 10 35 or 50 to help us flip this seat,JAY CHEN FOR CONGRESS,facebook,"donation,immigrants,foreigners","donation,immigration"
119,help us build a new vision for california donate today peoplepower governor californialove luis4governor,Luis J. Rodriguez for CA Governor 2022,facebook,donate,donation
120,important article about the luis j rodriguez for california governor campaign in the fresno bee spread the word help make luis the second highest vote getter in the june 7 primary to challenge governor newsom through the november 8 final election remember anyone can vote you don t have to be registered green democrats other party members and independents are welcome to vote for luis the ballots will be at your home soon if not already vote by mail by following all instructions vote early here s article,Luis J. Rodriguez for CA Governor 2022,facebook,no words,no topic
121,join us virtually for our monthly virtual open mic hosted by poet nia mcallister participate in an evening of spoken word featuring amazing local national and international poets all are welcome to either perform or just watch our featured poet tyanna braswell tyanna braswell she they is a black queer femme spoken word poet pan africanist and spiritualist born and raised in the bay area her work spans from several tours of california and beyond as well as collaboration with major and upcoming recording artists she serves communities of people of color through her work with youth underserved families as well as within her spiritual community she aims to use her platform to speak to for with the marginalized identities she exists within as well as to stand against those who contribute to the terror in this world with every offering she hopes to be welcomed and held by open hearts minds and ears aiming to leave all with grace as well as a call toward radical honesty compassion and accountability to themselves and the communities who need it most,,facebook,"contribute,people of color,black","donation,social and cultural"
122,help me save california before its too late,JOE COLLINS FOR CONGRESS,facebook,no words,no topic
123,the california dream has turned into a nightmare what if this was your child help me save california before it s too late please chip in 5 today www joeecollins3 com donate,JOE COLLINS FOR CONGRESS,facebook,"chip in,donate",donation
124,as your da i ve worked hard to make contra costa a safer place for everyone that s why the democratic party east bay times agree reelect diana becton for da by june 7,Diana Becton for District Attorney 2022,facebook,a safer,safety
125,show your support for climate action will you demand change with us,University of California,facebook,climate,environment
126,california s natural beauty makes it a special place to live and enjoy however these natural spaces have come under threat it is our responsibility to protect them sign the petition to urge our leaders to address california s environmental needs,RESOURCES LEGACY FUND,facebook,environmental needs,environment
127,dyk a new study surveyed 170 of the existing climate action plans relating mostly to housing and transportation in california noting a rise in the inclusion of language around equity the study found however that 66 of the 170 plans they reviewed did not include any language about social equity learn more at healthyworldforall,,facebook,"transportation,climate","economic,environment"
128,this weekend i went bass fishing with my grandson at santa maria river california and he surprised me with a question i never thought he would ask grandpa john do you have life insurance i was taken back for a moment because what kind of 7 year old would ask such a bold question rather than answering i simply asked him what made him think to ask me that he put his head down for a moment before looking at me with one eye squinted and said i heard my mom and dad talking about you and they re scared that if something happened to you we wouldn t have the money to pay the funeral man i could see he was worried i told him that everything would be fine and there was nothing to worry about the truth is i didn t have anything in place to protect them if something were to happen to me and they don t have 10 000 lying around to cover a sudden funeral cost either that was my responsibility one i hadn t owned up to yet i returned from our trip the next morning and called my friend who s a licensed field underwriter i almost paid for another insurance and then he told me that california residents ages 50 85 years old qualify for a new state regulated burial program that is designed to pay for our final expenses up to 25 000 tax free it was really simple they approved me almost instantly and they didn t even mind that i have some prior health conditions there was no blood work required no physical exam no doctors appointments or invasive requirements they provided day one coverage even covered my brother who s a diabetic that has been turned down for previous coverage thanks to this program i was able to tell my grandson and my family that everything will be fine when something happens to me if you would like to know if you also qualify for the program without any obligation click the learn more tab below,Andrea Marroquin,facebook,"tax,health,tax free","economic,health"
129,support republican christopher rodriguez for congress against democrat mike levin in southern california s 49th district oceanside camppendleton vista carlsbad encinitas delmar sanclemente danapoint sanjuancapo laderaranch lagunaniguela,RODRIGUEZ FOR CONGRESS,facebook,no words,no topic
130,you can rise start with a free online personality test to learn your strengths and weaknesses tune in on directv firetv appletv roku facebook com scientologytv facebook com scientology youtube com scientology twitter com scientologytv bit ly getthemobileapp,Church of Scientology International,facebook,no words,no topic
131,creating a more democratic organization is well worth the effort although there is much work for all of us to do there is also love and joy in doing it cfa president charles toombs read about cfa s move toward anti racism and social justice unionism,California Faculty Association,facebook,racism,social and cultural
132,in the newly drawn 5th district which represents costa mesa a portion of irvine and south county coastal cities we enthusiastically back sen pat bates she s running against democratic supervisor katrina foley who now represents the 2nd district and two republicans businesswoman and former assemblywoman diane harkey and newport beach mayor kevin muldoon bates certainly has the most impressive resume among all the candidates having served as state senator since 2014 where she spent two years as senate republican leader she was on the board of supervisors from 2007 2014 and spent six years in the california state assembly but our choice isn t based solely on her experience we ve closely watched her career and while we ve sometimes disagreed with her votes we ve always been impressed with her thoughtfulness graciousness and integrity she operates in a low key manner that puts the nuts and bolts of governing above politicking the board needs her steady earnest approach after its series of scandals and oversight failures foley has done yeoman s work battling board secrecy but her endorsement list is a who s who of progressive groups and labor unions likewise harkey and muldoon both sound like wholly owned subsidiaries of the deputies union by contrast we know that voters can trust bates to be an independent and public spirited voice who isn t beholden to anyone we urge a vote for pat bates for 5th district supervisor orangecounty election2022 pat bates diane harkey for orange county supervisor,1962 PAC,facebook,no words,no topic
133,emil guillermo is emil amok e294 national gop spreading anti asian lies earth day expanded twitter sale wdaaat emil s takes on everything aaf asian american filipino and all aax s it s our micro talk show updates at www amok com,Emil Amok Guillermo,facebook,no words,no topic
