,ad_id,ad_url,report_url,text,words,m_label
10,CR103587429994201088,https://transparencyreport.google.com/political-ads/library/advertiser/AR247372764581724160/creative/CR103587429994201088,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247372764581724160&creative_id=CR103587429994201088&hl=en,take the politics out of the treasury and invest in industries u0026 managers based upon merit increase returns on our state pension by improving asset allocation and reducing fees,no words,no topic
11,CR276364687182921728,https://transparencyreport.google.com/political-ads/library/advertiser/AR247372764581724160/creative/CR276364687182921728,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247372764581724160&creative_id=CR276364687182921728&hl=en,take the politics out of the treasury and invest in industries u0026 managers based on merit increase returns on our state pension by improving asset allocation and reducing fees,no words,no topic
12,CR43775234393767936,https://transparencyreport.google.com/political-ads/library/advertiser/AR409835984226615296/creative/CR43775234393767936,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR409835984226615296&creative_id=CR43775234393767936&hl=en,georgia will decide the senate majority in 2022 so help us close the fundraising gap donate to the official website for herschel walker for united states senate today,donate,donation
13,CR345933674090332160,https://transparencyreport.google.com/political-ads/library/advertiser/AR52658188834570240/creative/CR345933674090332160,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR52658188834570240&creative_id=CR345933674090332160&hl=en,bob stefanowski has a plan to lower taxes and protect connecticut families join him,taxes,economic
14,CR366114660262346752,https://transparencyreport.google.com/political-ads/library/advertiser/AR456301861012504576/creative/CR366114660262346752,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR456301861012504576&creative_id=CR366114660262346752&hl=en,gov lamont is touting a proposal that would threaten innovation u0026 access for ct patients stand up for live saving vaccines and treatments send a message to governor lamont now,vaccines,social programs
15,CR319333739035361280,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR319333739035361280,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR319333739035361280&hl=en,mcconnell enriches his wealthy patrons and uses the filibuster to block everything else if we want action on the problems facing america we must fix or nix the filibuster,filibuster,governance
16,CR320760905128214528,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR320760905128214528,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR320760905128214528&hl=en,leora levy is the best conservative to take on democrat dick blumenthal,no words,no topic
17,CR528988616219688960,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR528988616219688960,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR528988616219688960&hl=en,states are passing laws to silence voters federal standards would put a stop to it,no words,no topic
18,CR554039889146937344,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR554039889146937344,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR554039889146937344&hl=en,the filibuster stands in the way we need to fix or nix the filibuster you can help,filibuster,governance
19,CR54562405534924800,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR54562405534924800,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR54562405534924800&hl=en,dick blumenthal and joe biden s policies are wrong for america their consistent support for far left policies undermines our freedom and security,no words,no topic
20,CR149905594264846336,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR149905594264846336,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR149905594264846336&hl=en,don t be left behind support a true conservative,no words,no topic
21,CR349893565217767424,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR349893565217767424,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR349893565217767424&hl=en,leora levy has lived the american dream she escaped castro s communist regime in cuba,no words,no topic
22,CR282480308295565312,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR282480308295565312,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR282480308295565312&hl=en,leora is the conservative who can win in november be a founding member,no words,no topic
23,CR350187134822383616,https://transparencyreport.google.com/political-ads/library/advertiser/AR67216822297952256/creative/CR350187134822383616,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR67216822297952256&creative_id=CR350187134822383616&hl=en,ned lamont is working for us investing in good jobs and lower taxes for working families ned lamont has led the way during covid to make sure connecticut stays open and safe,"taxes,jobs,covid","covid,economic"
24,CR104292354386558976,https://transparencyreport.google.com/political-ads/library/advertiser/AR139758201452101632/creative/CR104292354386558976,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR139758201452101632&creative_id=CR104292354386558976&hl=en,the connecticut dream is worth fighting for vote klarides for senate in 2022 i m running for senate in 2022 to put connecticut back on the right track join us today,no words,no topic
25,CR397225891526082560,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR397225891526082560,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR397225891526082560&hl=en,it s been a year since january 6 but the senate hasn t acted to protect our elections the filibuster is used to block protections for our democracy it s time to fix or nix it,filibuster,governance
26,CR363059117448757248,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR363059117448757248,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR363059117448757248&hl=en,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide there s no greater priority than defending democracy you can help,no words,no topic
27,CR449712728345411584,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR449712728345411584,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR449712728345411584&hl=en,leora is a jewish hispanic woman who will say in plain language and no uncertain terms that what is happening at our southern border is an invasion,border,immigration
28,CR95335182910881792,https://transparencyreport.google.com/political-ads/library/advertiser/AR18316042652614656/creative/CR95335182910881792,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR18316042652614656&creative_id=CR95335182910881792&hl=en,leora knows what happens when we allow mobs to rule save america stand strong,no words,no topic
29,,,,please join cea s red for ed day of action this wednesday come to hartford to meet with your legislators or if you can t make it take just a few minutes to call or email,no words,no topic
30,,,,thinking about attending a connecticut state community college get all the information and support you need during our virtual showcases april 28 30th hear about community college and program options throughout the state transfer opportunities financial aid careers and more all from your couch live chat will be available register today by visiting the link in our bio,"community college,college",social programs
31,,,,governor lamont is protecting abortion rights in connecticut the governor is set to sign a major piece of legislation protecting abortion ahead of an upcoming supreme court ruling sign up now to learn more about what the governor is doing for connecticut,"abortion,supreme court","governance,health,social and cultural"
32,,,,hey connecticut have you heard governor lamont has signed a bill suspending the gas tax this means real relief for working families across the state add your name now to get more updates on what gov lamont is doing for connecticut,tax,economic
33,,,,cost increases are hitting families in connecticut that s why governor lamont and the legislature have suspended the gas tax it ll cost you less to fill up at the pump that s real relief for connecticut families add your name and find out more about how the governor is working for you,tax,economic
34,,,,when you become an early childhood teacher you are building the future for the children you care for and teach every day be there for the milestones and have an impact on the lives of little ones as well as your own www childcarecareers info cuando te conviertes en maestro de la primera infancia moldeas el futuro de los niños a los que cuidas y enseñas a diario presencia los acontecimientos más importantes y genera un impacto en la vida de los más pequeños y también en la tuya www childcarecareers info,no words,no topic
35,,,,john diiorio on chaz and aj talking about the top 5 ways connecticut is destroying businesses get the full interview here,no words,no topic
36,,,,tell the governor and legislators to support educationjusticenow hb5283 would send millions in additional funding to ct public schools through a student centered approach,"student,public schools",education
37,,,,what does educationjusticenow mean to you and your community house bill 5283 would send millions in additional funding to connecticut public schools through a student centered approach contact the governor and your legislators today with just a few clicks read the bill learn more at,"student,public schools",education
38,,,,hear from community activist shawn gaston about the merits of house bill 5283 and how it would support education in the brass city send a quick message to your legislators today student centered funding would send millions in additional funding to connecticut public schools educationjusticenow students schools,"students schools,student,education,public schools",education
39,,,,what does educationjusticenow mean to you and your community house bill 5283 would send millions in additional funding to connecticut public schools through a student centered approach contact the governor and your legislators today with just a few clicks read the bill learn more at read an op ed from the leaders of the educationjusticenow coalition school and state finance project connecticut charter schools association educators for excellence faithacts for education,"education,charter schools,student,public schools,school","education,social programs"
40,,,,the health and safety of students teachers and staff is at stake tell your legislators to pass sb 423 to improve indoor air quality in our schools now,"health,teachers","education,health"
41,,,,extreme temperatures derail teaching and learning we need legislators to set temperature standards for schools,temperatures,environment
42,,,,there are only a handful of days left to pass sb 423 tell legislators to act now on harmful indoor air quality in our schools the health and safety of students teachers and staff is at stake,"health,teachers","education,health"
43,,,,our kids can t wait please contact your legislators today and ask them to set temperature standards for schools sb 423,no words,no topic
44,,,,extreme temperatures mold poor ventilation what you don t see is making kids sick tell your legislators to pass sb 423 to improve indoor air quality in our schools,temperatures,environment
45,,,,connecticut has laws regulating temperatures in pet stores but not in schools our children deserve better tell your legislators to support temperature standards for schools,"children deserve,temperatures","environment,social programs"
46,,,,what does educationjusticenow mean to you and your community hb5283 would send millions in additional funding to connecticut public schools through a student centered approach contact the governor and your legislators today with just a few clicks read an op ed from the leaders of the educationjusticenow coalition,"student,public schools",education
47,,,,when you pursue training certificates or degrees in i t or tech fields doors will open for you connecticut state community colleges have the programs you need to get your 4 year degree on a 2 year budget apply now at ct edu technology,no words,no topic
48,,,,the new hvn is creating new jobs for workers in our community,"workers,jobs",economic
49,,,,the new hvn provides new opportunities and new destinations for east haven families,no words,no topic
50,,,,the new hvn is providing new destinations and opportunities for everyone in east haven,no words,no topic
51,,,,what does educationjusticenow mean to you and your community house bill 5283 would send millions in additional funding to connecticut public schools through a student centered approach contact the governor and your legislators today with just a few clicks,"student,public schools",education
52,,,,when you become an early childhood teacher you are building the future for the children you care for and teach every day be there for the milestones and have an impact on the lives of little ones as well as your own www childcarecareers info,no words,no topic
53,,,,cea members please help us get bills of importance to educators our students and our profession over the finish line before the end of the legislative session,no words,no topic
54,,,,bob called on the governor to immediately suspend all of connecticut s state gas taxes to ease the burden on residents if you agree with bob sign the petition,taxes,economic
55,,,,struggling to pay your utility bills sign the petition to demand lower costs and more transparency in connecticut,no words,no topic
56,,,,we don t know the full extent of corruption within the lamont administration but as the people who pay their salaries connecticut residents have a right to know sign here if you agree,no words,no topic
57,,,,today is the day our fair housing month presentation will be today from 4pm to 6pm if you haven t registered yet it is not too late click the link below to join us in viewing episode 5 of show me a hero the hbo miniseries that was inspired by the book by lisa belkin lisa will also be joining us for our panel discussion after in addition to our other wonderful panelists dione dwyer anika singh lemar maribel betances register here,no words,no topic
58,,,,today ct senate and house republicans offered a 1 2 billion tax relief package to help connecticut s working and middle class families the plan maintains a balanced budget while returning to ct residents nearly 1 billion in inflation related windfall revenue this proposal offers immediate tax relief at a time when ct residents are facing the crushing burden of historic inflation our plan continues to invest a historic amount in paying down on the state s unfunded liabilities maintains a significant budget surplus and returns the overtaxation of ct residents to families most in need learn more read our plan affordablect betterwayct affordableconnecticut com taxrelief taxcuts inflation ctbudget,"middle class,surplus,inflation,tax",economic
59,,,,hilda santiago survived domestic violence and rose to become the highest ranking latina in the state of connecticut there s no one better to defend voting rights and deliver a democratic victory in november join our team by pledging your support below,"domestic violence,voting rights","governance,safety"
60,,,,this weekend i went fishing with my grandson at candlewood lake in connecticut and he surprised me with a question i never thought he would ask grandpa john do you have life insurance i was taken back for a moment because what kind of 7 year old would ask such a bold question rather than answering i simply asked him what made him think to ask me that he put his head down for a moment before looking at me with one eye squinted and said i heard my mom and dad talking about you and they re scared that if something happened to you we wouldn t have the money to pay the funeral man i could see he was worried i told him that everything would be fine and there was nothing to worry about the truth is i didn t have anything in place to protect them if something were to happen to me and they don t have 10 000 lying around to cover a sudden funeral cost either that was my responsibility one i hadn t owned up to yet i returned from our trip the next morning and called my friend who s a licensed field underwriter i almost paid for another insurance and then he told me that connecticut residents ages 50 85 years old qualify for a new state regulated burial program that is designed to pay for our final expenses up to 25 000 tax free it was really simple they approved me almost instantly and they didn t even mind that i have some prior health conditions there was no blood work required no physical exam no doctors appointments or invasive requirements they provided day one coverage even covered my brother who s a diabetic that has been turned down for previous coverage thanks to this program i was able to tell my grandson and my family that everything will be fine when something happens to me if you would like to know if you also qualify for the program without any obligation click the learn more tab below,"health,tax free,tax","economic,health"
61,,,,big news for seniors who live in connecticut as of april 25th 2022 connecticut has approved a state regulated burial program that is now available to every senior regardless of most pre existing conditions do not pay for life insurance until you know how this works if you were born prior to 1975 we can help you qualify for this affordable state regulated burial program that is designed to cover the entire cost of your final expenses up to 25 000 why leave your family with this unnecessary financial burden when we have helped thousands of local seniors qualify for this important state regulated burial program so don t wait click the learn more tab below to find out just how simple it is to qualify with our help,"pre existing conditions,pre existing",social programs
62,,,,hilda santiago is running for secretary of the state let s show girls and young women of color across connecticut that yes we can let s show single moms that they can fight for their kids education and win let s show the political establishment that when we speak as one our voice is too loud to be ignored and let s show everyone that yes real experience matters we re with hilda are you,education,education
63,,,,alamo disrespecting george p bush may kill family s political dynasty please see the excellent article by isabel vincent that just came out in the new york post on march 4 describing the potential downfall of george p bush the piece goes into quite a bit of detail about the impact that all of us have had in the fight to save the alamo you can press this link to see the original we have also posted the full article below alamo disrespecting george p bush may kill family s political dynasty by isabel vincent march 4 2022 7 40am new york post at first glance george prescott bush seems the ideal political candidate in a state where his family has been a powerful dynasty for decades the telegenic texas lawyer is a grandson of 41st us president george h w bush and the nephew of george w bush the 43rd he is the eldest son of two term florida gov jeb bush and the great grandson of us sen prescott bush of connecticut the war veteran and father of two married to blond lawyer amanda williams bush is also mexican american on his mother s side and speaks fluent spanish but that might not be enough according to critics who accuse him of being the black sheep of the family and disrespecting the alamo texas most treasured symbol by bringing in modern minded out of staters for its restoration on tuesday bush 45 and incumbent ken paxton beat two other republican candidates vying to be the party s pick in the attorney general s race now a critical may runoff will determine whether the fourth generation scion will be able to shore up the family s political legacy in the lone star state analysts say but that s another problem the bush name is not popular in texas anymore luke twombly a dallas based political consultant and former communications director of the texas republican party told the post paxton the texas attorney general since 2015 has been indicted on securities fraud charges and accused of bribery and misuse of office in a civil whistleblower lawsuit but still has the support of the state s conservatives he also has the endorsement of former president donald trump a situation bush hopes to reverse by invoking trump in his campaign ads which don t mention the titans in his own family under the leadership of president trump our country was strong and vibrant again says bush in a campaign video at another point in the ad he notes like president trump i will not sit idly by while our freedoms are under attack because texas must lead the way in fighting this radical agenda if bush is trying to capitalize on his devotion to trump his opponents hope to end the bush family s political dominance in texas which began after george h w moved with his wife barbara from connecticut to the lone star state in 1948 to work in the oil business if conservatives unite we can end the bush dynasty paxton told a lubbock radio station wednesday the bushes have had their chances it s time for the dynasty to end bush commissioner of the general land office in texas has faced withering criticism from both democrats and fellow republicans for his work restoring the alamo historic site he s also been under scrutiny for his agency s administration of veterans homes where the covid fatality rate was 25 percent at seven out of nine facilities more than double the rate at the state s other nursing homes during the height of the pandemic in his eagerness to seek endorsements from trump bush has broken with members of his own family becoming the black sheep of a clan that has little patience for trump s hold on the republican party i can t imagine that george p is getting a lot of love from his family in pursuit of the trump endorsement said twombly although he likely needs trump s endorsement to win the race others say bush lacks the same leadership genes that propelled his relatives to political victory well maybe he s not exactly a black sheep but bush is not the guy jerry patterson bush s predecessor on the general land office told the post i knew 41 and 43 and bush is not a guy who is a leader he s a decent enough fellow but if you want someone to make hard decisions he s out of it he avoids controversy puts his head down as commissioner of the glo he has played fast and loose with the alamo the state s most sacred historic site he added patterson was so incensed with what he called bush s lack of transparency and bungling of the monument s restoration that he decided to run against him to get his old job back in 2018 when patterson lost to bush in the republican primary for the commissioner s job he decided to back bush s democratic opponent miguel suazo in the commissioner s race he wasn t the only one never in my memory have all primary opponents of a republican candidate either endorsed the primary winner s democratic opponent or stated publicly they wouldn t vote for the republican primary winner patterson said in addition to patterson losing republican primary opponents in the race rick range davey edward and david watts all refused to back bush there are things that are more important than your party said patterson who ran the glo between 2003 and 2015 the alamo is texas among the criticisms of bush s work on the restoration of the site which will include a new museum with a rooftop garden is a lack of transparency and the hiring of a philadelphia design firm that suggested incorporating modern glass walls calling in all these out of state so called experts who knew nothing about the alamo nothing about what it means to texas was bush s first mistake according to range a retired firefighter in an interview with the texas monthly he cannot be trusted with the future of the alamo range told the magazine he s flip flopped more times than a catfish stranded on the bank of a river despite the criticisms bush prominently features images of the alamo in his campaign ads which also include several references to trump s domestic policy greatest hits in his latest ad bush reminds viewers that he is a former navy officer deployed to afghanistan and promises to finish trump s wall he is filmed in dark glasses riding an all terrain vehicle in the shadow of the wall that marks the southern border with mexico it s such bulls t said patterson every damned politician talks about the wall but the attorney general has no impact on shutting down the border it s all bulls t it s almost what you have to do if you are a republican in texas still patterson like others is hesitant to write off bush just yet do i think he has a chance he said i think he has a chance bush s campaign and spokesman did not return the post s calls and emails thursday,"pandemic,covid,border,black","covid,immigration,social and cultural"
64,,,,breaking news connecticut residents may qualify for 20k 50k 100k loan assistance which will be deposited into your account the next day thanks to this emergency cash program,no words,no topic
65,,,,endorsement alert more than just an ally or colleague i consider hilda santiago a friend she was there when i was first elected and since then i ve come to count on her as someone who doesn t subscribe to politics as usual who is always guided by what s right for her constituents and is consistently on the frontlines fighting for working families i m so proud to endorse her to be our next secretary of the state state representative ron napoli jr,no words,no topic
66,,,,endorsement alert i ve known and worked with hilda santiago for years and there s no one in this state i trust more to defend the right to vote we as democrats spend a lot of time talking about making government more diverse and more representative of our communities it s time to act now is the time to make history i m so proud to endorse hilda for secretary of the state former coventry democratic chair dorothy grady,right to vote,governance
67,,,,this is huge elon musk just shocked the world and quite possibly changed it in a whole new way again watch trishreganshow s3 e59,no words,no topic
68,,,,what does educationjusticenow mean to you and your community house bill 5283 would send millions in additional funding to connecticut public schools through a student centered approach contact the governor and your legislators today with just a few clicks learn more at read an op ed from the leaders of the educationjusticenow coalition school and state finance project connecticut charter schools association faithacts for education educators for excellence,"education,charter schools,student,public schools,school","education,social programs"
69,,,,new haven s students deserve fair funding hb 5283 would provide 19 3 million more for new haven s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
70,,,,hartford s students deserve fair funding hb 5283 would provide 23 5 million more for hartford s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
71,,,,with my business consulting background i intend to help hartford make the difficult but right choices to help the people of connecticut the cost of basic necessities like putting food on the table for our families has gotten way out of hand and it s time to make a change,no words,no topic
72,,,,have you heard governor lamont has rolled out an opportunity with us alongside the connecticut office of workforce strategy and amazon web services aws to provide i t training and education to more than 2 000 connecticut residents by 2024 be ready with the skills you need to land a job or advance your career learn more at ct edu technology apply now,education,education
73,,,,the allied health field has more career paths than many know from emt paramedic to radiologic technology diagnostics to surgical technology radiography physical therapy veterinary technology and beyond learn more about the many options at several of our connecticut campuses today ct edu academics selective,health,health
74,,,,does the bible still matter in the 21st century yes dennis prager author of the best selling bible commentary in america joins michael knowles to explain why,no words,no topic
75,,,,the bible after so many centuries remains the most important book in america why michael knowles and dennis prager discuss,no words,no topic
76,,,,big news for seniors who live in connecticut as of april 21st 2022 connecticut has approved a state regulated burial program that is now available to every senior regardless of most pre existing conditions do not pay for life insurance until you know how this works if you were born prior to 1975 we can help you qualify for this affordable state regulated burial program that is designed to cover the entire cost of your final expenses up to 25 000 why leave your family with this unnecessary financial burden when we have helped thousands of local seniors qualify for this important state regulated burial program so don t wait click the learn more tab below to find out just how simple it is to qualify with our help,"pre existing conditions,pre existing",social programs
77,,,,endorsement alert hilda santiago has the experience and relationships to be a strong secretary of the state from day one part of protecting the right to vote is making sure that connecticut s cities and towns all have equal open access to the secretary s office as they administer elections no matter their size or political connections hilda has always fought for open communication and she knows what it s like to work from the grassroots i m excited to be a part of this history making moment state representative pat boyd,right to vote,governance
78,,,,endorsement alert i ve served with hilda for a decade in the house and seen her tireless work ethic up close no one will work harder for the residents and voters of connecticut and there s no one better to keep our elections honest fair and accessible i m proud to endorse my friend hilda santiago for secretary of the state state representative david arconti,no words,no topic
79,,,,our commitment the dairy industry is committed to supporting a healthier more sustainable and equitable food system to nourish people the planet s climate and communities by improving water quality while also providing healthy affordable foods that promote public health ctdairy ourcommitment,"climate,health","environment,health"
80,,,,why should biblical literacy matter today joining michael knowles in this episode of the book club is the author of the best selling bible commentary in america dennis prager,no words,no topic
81,,,,connecticut is the latest state that will protect and expand access to abortion care in the face of so many states restricting access even further thank you connecticut lawmakers for doing the right thing,abortion,"health,social and cultural"
82,,,,big news connecticut our representatives and senators in hartford are rushing to approve 3 500 tax rebates and six rounds of tax cuts just kidding those are the bonuses and raises they re hurrying to give to the public employee unions before they seek their endorsements and before taxpayers find out how much they cost baddealct,"employee,taxpayers,tax",economic
83,,,,join us for the rebroadcast of the municipal voice with guest mayor caroline simmons of stamford thanks to our premier sponsors digital backoffice and palo alto networks visit them at digitalbackoffice com and paloaltonetworks com for more information,no words,no topic
84,,,,connecticut schools need full funding to ensure our students are receiving the most equitable education possible,education,education
85,,,,fully fund education by the time the federal dollars run out to ensure teachers and students have the resources they need,"education,teachers",education
86,,,,early identification of mental health challenges often occur in school prioritize school based mental health resources,"health,school","education,health"
87,,,,1 why did democrats take her and she out of the bill s language after all only women can get abortions 2 quote from article one of the legislature s newest democrats rep trenee mcgee of west haven spoke against abortion and its impact on young black women mcgee who was elected during a december special election said you black girls are taught about abortion as a method of birth control there s a lot of history we don t talk about when it comes to this topic but for me this is a part of my racial justice fight mcgee said the majority of abortion clinics are located in the black community social and economically depressed black and brown communities yes trenee mcgee liberal democrats placed them there with a purpose in mind,"racial,abortions,black,abortion clinics,abortion","health,social and cultural"
88,,,,we all rely on public services to keep our communities moving forward but those critical services are at risk from severe understaffing and underfunding we must properly staff and fund public services now before it is too late,no words,no topic
89,,,,big news for seniors who live in connecticut as of april 18th 2022 connecticut has approved a state regulated burial program that is now available to every senior regardless of most pre existing conditions do not pay for life insurance until you know how this works if you were born prior to 1975 we can help you qualify for this affordable state regulated burial program that is designed to cover the entire cost of your final expenses up to 25 000 why leave your family with this unnecessary financial burden when we have helped thousands of local seniors qualify for this important state regulated burial program so don t wait click the learn more tab below to find out just how simple it is to qualify with our help,"pre existing conditions,pre existing",social programs
90,,,,windham s students deserve fair funding hb 5283 would provide 3 4 million more for windham s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
91,,,,wethersfield s students deserve fair funding hb 5283 would provide 2 8 million more for wethersfield s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
92,,,,waterbury s students deserve fair funding hb 5283 would provide 24 8 million more for waterbury s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
93,,,,vernon s students deserve fair funding hb 5283 would provide 1 6 million more for vernon s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
94,,,,torrington s students deserve fair funding hb 5283 would provide 4 6 million more for torrington s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
95,,,,stratford s students deserve fair funding hb 5283 would provide 4 8 million more for stratford s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
96,,,,southbury s students deserve fair funding hb 5283 would provide 2 1 million more for southbury s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
97,,,,simsbury s students deserve fair funding hb 5283 would provide 1 6 million more for simsbury s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
98,,,,stamford s students deserve fair funding hb 5283 would provide 7 4 million more for stamford s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
99,,,,norwich s students deserve fair funding hb 5283 would provide 3 7 million more for norwich s schools tell governor lamont to support hb 5283 and finally fully fund connecticut s students,no words,no topic
