,ad_id,ad_url,report_url,text,words,m_label
14,CR404639623554269184,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR404639623554269184,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247685438200872960&creative_id=CR404639623554269184&hl=en,donate today to re elect gavin newsom as california governor republicans are doing whatever it takes to stop us chip in to help us fight back,"chip in,donate",donation
15,CR472438396740960256,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR472438396740960256,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR440853413404606464&creative_id=CR472438396740960256&hl=en,stop the deceptive corp prop would turn every screen into a gambling device learn more a broad coalition of ca indian tribes opposes this online gambling prop learn more,no words,no topic
16,CR235056172766330880,https://transparencyreport.google.com/political-ads/library/advertiser/AR331320614801375232/creative/CR235056172766330880,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR331320614801375232&creative_id=CR235056172766330880&hl=en,learn how we can fund future pandemic preparation fund pandemic preparedness by taxing wealthy individuals,"taxing,pandemic","covid,economic"
17,CR185936590307065856,https://transparencyreport.google.com/political-ads/library/advertiser/AR112762167333224448/creative/CR185936590307065856,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR112762167333224448&creative_id=CR185936590307065856&hl=en,democrat emily beach is a veteran mom and former mayor learn more about her congressional campaign today,no words,no topic
18,CR212859232024788992,https://transparencyreport.google.com/political-ads/library/advertiser/AR134254767797960704/creative/CR212859232024788992,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR134254767797960704&creative_id=CR212859232024788992&hl=en,don t sit by and let our democracy fall donate now to protect ca s most vulnerable dem republicans are coming for democrat josh harder donate today to fight back,donate,donation
19,CR340111485143351296,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR340111485143351296,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247685438200872960&creative_id=CR340111485143351296&hl=en,donate today to re elect gavin newsom as california governor he will always put californians first like he has for 2 years chip in to keep ca blue,"chip in,donate",donation
20,CR319333739035361280,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR319333739035361280,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR319333739035361280&hl=en,mcconnell enriches his wealthy patrons and uses the filibuster to block everything else if we want action on the problems facing america we must fix or nix the filibuster,filibuster,governance
21,CR517179311581560832,https://transparencyreport.google.com/political-ads/library/advertiser/AR466701557384085504/creative/CR517179311581560832,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR466701557384085504&creative_id=CR517179311581560832&hl=en,donate to elect shrina kurani as ca 41 s first congresswoman of color ken calvert is what s wrong in washington elect shrina kurani to congress,donate,donation
22,CR528988616219688960,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR528988616219688960,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR528988616219688960&hl=en,states are passing laws to silence voters federal standards would put a stop to it,no words,no topic
23,CR481086742888185856,https://transparencyreport.google.com/political-ads/library/advertiser/AR533097491172687872/creative/CR481086742888185856,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR533097491172687872&creative_id=CR481086742888185856&hl=en,community health centers share a mission to serve anyone who walks through their doors chcs are vital to california health care ensuring that vulnerable people can access care,"health,health care",health
24,CR219332606733320192,https://transparencyreport.google.com/political-ads/library/advertiser/AR152623037252894720/creative/CR219332606733320192,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR152623037252894720&creative_id=CR219332606733320192&hl=en,kiley proposed the bill to suspend the state s gas tax which the assembly voted down kevin kiley is the only endorsed candidate by the california republican party,tax,economic
25,CR349637928764309504,https://transparencyreport.google.com/political-ads/library/advertiser/AR533097491172687872/creative/CR349637928764309504,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR533097491172687872&creative_id=CR349637928764309504&hl=en,community health centers share a mission to serve anyone who walks through their doors more than 1 in 5 californians rely on community health centers for their medical needs,health,health
26,CR505103925129510912,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR505103925129510912,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR505103925129510912&hl=en,when covid hit katie porter led the charge for free testing for every american then she went to work to hold corporations and the government accountable to taxpayers,"covid,testing,taxpayers","covid,economic"
27,CR409574918934495232,https://transparencyreport.google.com/political-ads/library/advertiser/AR234497483420467200/creative/CR409574918934495232,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR234497483420467200&creative_id=CR409574918934495232&hl=en,a proven track record of developing effective strategies to reduce neighborhood crime bob has pushed for innovative policies that reduced crime and improved community outreach,no words,no topic
28,CR442194267834679296,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR442194267834679296,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR442194267834679296&hl=en,the california congresswoman has working parents cheering and ceos quaking fast company fed up with the status quo katie porter is putting congress to work for oc families,"fed,ceos",economic
29,CR433245892452024320,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR433245892452024320,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR448621463054843904&creative_id=CR433245892452024320&hl=en,it s time to unite california under the leadership of michael shellenberger for governor donate to michael shellenberger for governor help beat gavin newsom in 2022,donate,donation
30,CR210728241051205632,https://transparencyreport.google.com/political-ads/library/advertiser/AR435800607719161856/creative/CR210728241051205632,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR435800607719161856&creative_id=CR210728241051205632&hl=en,greg tanaka will fight in congress to stop inflation inflation hurts the lower and middle classes the most act now to show your support,inflation,economic
31,CR53359677253091328,https://transparencyreport.google.com/political-ads/library/advertiser/AR132522040551800832/creative/CR53359677253091328,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR132522040551800832&creative_id=CR53359677253091328&hl=en,mark has been involved in over 25 lawsuits against covid lockdowns and vaccine mandates help him continue the fight for the constitution by supporting him for u s senate,"vaccine,covid,constitution","covid,governance"
32,CR406351150841856000,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR406351150841856000,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR406351150841856000&hl=en,don t settle for the status quo elect dave myers for sheriff,no words,no topic
33,CR78435001997197312,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR78435001997197312,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR440853413404606464&creative_id=CR78435001997197312&hl=en,take action corp prop would legalize an expansion of online sports gambling in ca a broad coalition of ca indian tribes opposes this online gambling prop learn more,no words,no topic
34,CR505151066690551808,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR505151066690551808,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR440853413404606464&creative_id=CR505151066690551808&hl=en,stop the deceptive corp prop would turn every screen into a gambling device learn more a broad coalition of ca indian tribes opposes the corp online gambling prop learn more,no words,no topic
35,CR522923710080876544,https://transparencyreport.google.com/political-ads/library/advertiser/AR112762167333224448/creative/CR522923710080876544,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR112762167333224448&creative_id=CR522923710080876544&hl=en,democrat emily beach is a veteran mom and former mayor,no words,no topic
36,CR502287938411823104,https://transparencyreport.google.com/political-ads/library/advertiser/AR435800607719161856/creative/CR502287938411823104,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR435800607719161856&creative_id=CR502287938411823104&hl=en,greg tanaka will fight in congress to stop inflation congress continues to print and spend trillions of dollars without regards to inflation,inflation,economic
37,CR426400333057490944,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR426400333057490944,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR426400333057490944&hl=en,rep katie porter is fighting to lower health care costs she s holding prescription drug companies accountable for price gouging patients,"health,health care,prescription,care costs,prescription drug",health
38,CR196297838131412992,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR196297838131412992,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR52147465683468288&creative_id=CR196297838131412992&hl=en,our measure would guarantee funding for homelessness and mental health support in ca,health,health
39,CR360474715367669760,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR360474715367669760,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR360474715367669760&hl=en,i m taking on corporate interests and washington corruption to protect taxpayers that s what orange county deserves,taxpayers,economic
40,CR459026691344302080,https://transparencyreport.google.com/political-ads/library/advertiser/AR227091310534721536/creative/CR459026691344302080,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR227091310534721536&creative_id=CR459026691344302080&hl=en,he s running for congress to help restore the republican majority u0026 stop the radical left,no words,no topic
41,CR572629881993560064,https://transparencyreport.google.com/political-ads/library/advertiser/AR565557823203704832/creative/CR572629881993560064,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR565557823203704832&creative_id=CR572629881993560064&hl=en,contact our team today salud carbajal s team has helped hundreds with irs social security va and more,"irs,social security","economic,social programs"
42,CR397225891526082560,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR397225891526082560,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR397225891526082560&hl=en,the filibuster is used to block protections for our democracy it s time to fix or nix it it s been a year since january 6 but the senate hasn t acted to protect our elections,filibuster,governance
43,CR142651016544780288,https://transparencyreport.google.com/political-ads/library/advertiser/AR62007233126334464/creative/CR142651016544780288,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR62007233126334464&creative_id=CR142651016544780288&hl=en,the fate of the house majority relies on ca 45 ca 45 is the 1 toss up race in the country,no words,no topic
44,CR406053870385496064,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR406053870385496064,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR448621463054843904&creative_id=CR406053870385496064&hl=en,gavin newsom has done nothing to address the rise in crime and homelessness in our state donate to support michael shellenberger for governor it s time to restore california,donate,donation
45,CR211264390408699904,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR211264390408699904,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR211264390408699904&hl=en,california s 47th congressional district,no words,no topic
46,CR336500414079827968,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR336500414079827968,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR336500414079827968&hl=en,katie porter is delivering results for families in orange county she s led the charge to crack down on corruption and lower costs for working people,no words,no topic
47,CR409415902065328128,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR409415902065328128,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247685438200872960&creative_id=CR409415902065328128&hl=en,gavin is a champion for california values from education to protecting civil rights donate today to re elect gavin as governor and keep california leading the country,"education,donate","donation,education"
48,CR81154506569547776,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR81154506569547776,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247685438200872960&creative_id=CR81154506569547776&hl=en,donate now to re elect gavin as governor and keep california blue republicans are doing whatever it takes to stop us donate now to help us fight back,donate,donation
49,CR367265299180814336,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR367265299180814336,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR304375604893974528&creative_id=CR367265299180814336&hl=en,katie porter is taking on washington corruption and putting orange county families first,no words,no topic
50,CR324899466895163392,https://transparencyreport.google.com/political-ads/library/advertiser/AR274154050335801344/creative/CR324899466895163392,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR274154050335801344&creative_id=CR324899466895163392&hl=en,defending the american dream takes grit matt jacobs has what it takes,no words,no topic
51,CR364640077730545664,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR364640077730545664,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR364640077730545664&hl=en,dave myers is the right guy for the job,no words,no topic
52,CR86378561191018496,https://transparencyreport.google.com/political-ads/library/advertiser/AR150468475498790912/creative/CR86378561191018496,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR150468475498790912&creative_id=CR86378561191018496&hl=en,our government isn t working for us we need politicians who will stand up for the people not private companies and their own pockets learn more about our progressive agenda today,no words,no topic
53,CR67068250789249024,https://transparencyreport.google.com/political-ads/library/advertiser/AR206807382586556416/creative/CR67068250789249024,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR206807382586556416&creative_id=CR67068250789249024&hl=en,don t settle for the status quo elect dave myers for sheriff come june 7th 2022,no words,no topic
54,CR542391662962278400,https://transparencyreport.google.com/political-ads/library/advertiser/AR150468475498790912/creative/CR542391662962278400,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR150468475498790912&creative_id=CR542391662962278400&hl=en,not private companies and their own pockets learn more about our progressive agenda today our government isn t working for us we need politicians who will stand up for the people,no words,no topic
55,CR185084743673446400,https://transparencyreport.google.com/political-ads/library/advertiser/AR274154050335801344/creative/CR185084743673446400,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR274154050335801344&creative_id=CR185084743673446400&hl=en,counter terrorism prosecutor matt jacobs knows how to fight for america support here,no words,no topic
56,CR403765099493326848,https://transparencyreport.google.com/political-ads/library/advertiser/AR100335074599239680/creative/CR403765099493326848,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR100335074599239680&creative_id=CR403765099493326848&hl=en,learn more about shawn s common sense solutions to keep the california dream alive,no words,no topic
57,CR416523969860993024,https://transparencyreport.google.com/political-ads/library/advertiser/AR227091310534721536/creative/CR416523969860993024,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR227091310534721536&creative_id=CR416523969860993024&hl=en,he s running for congress to help restore the republican majority u0026 stop the radical left help matt stoll make it easier to vote u0026 harder to cheat join him now,no words,no topic
58,CR575339490961260544,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR575339490961260544,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR448621463054843904&creative_id=CR575339490961260544&hl=en,michael will lead the movement to finally fix the humanitarian crisis of homelessness it s time to unite california under the leadership of michael shellenberger for governor,no words,no topic
59,CR517900041453568000,https://transparencyreport.google.com/political-ads/library/advertiser/AR477649119783944192/creative/CR517900041453568000,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR477649119783944192&creative_id=CR517900041453568000&hl=en,add your name to join the movement powering his campaign for a better safer la sign on to personally endorse rick caruso s campaign for los angeles mayor,no words,no topic
60,CR337035326486740992,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR337035326486740992,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR52147465683468288&creative_id=CR337035326486740992&hl=en,join the movement to legalize online sports betting for adults 21 and over in california our measure would guarantee 100m each year to fight homelessness in ca,no words,no topic
61,CR559417050762575872,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR559417050762575872,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR448621463054843904&creative_id=CR559417050762575872&hl=en,it s time to unite california under the leadership of michael shellenberger for governor donate to support michael shellenberger for governor it s time to restore california,donate,donation
62,CR178896692232323072,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR178896692232323072,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR247685438200872960&creative_id=CR178896692232323072&hl=en,thanks to governor newsom california is leading in vaccines and its economy is strong chip in today to re elect gavin newsom and keep california blue,"chip in,economy,vaccines","donation,economic,social programs"
63,CR26022519651696640,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR26022519651696640,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR26022519651696640&hl=en,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide there s no greater priority than defending democracy you can help,no words,no topic
64,CR523746144778452992,https://transparencyreport.google.com/political-ads/library/advertiser/AR122301255337902080/creative/CR523746144778452992,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR122301255337902080&creative_id=CR523746144778452992&hl=en,the january 6 insurrection kicked off a concerted wave of anti voting laws nationwide,no words,no topic
65,CR304499128153407488,https://transparencyreport.google.com/political-ads/library/advertiser/AR62007233126334464/creative/CR304499128153407488,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR62007233126334464&creative_id=CR304499128153407488&hl=en,save california chip in here take back the majority take back america,chip in,donation
66,CR14392847725756416,https://transparencyreport.google.com/political-ads/library/advertiser/AR512670214396051456/creative/CR14392847725756416,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR512670214396051456&creative_id=CR14392847725756416&hl=en,er null null null null 404 null null null 5,no words,no topic
67,CR110427491830595584,https://transparencyreport.google.com/political-ads/library/advertiser/AR569583547589853184/creative/CR110427491830595584,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR569583547589853184&creative_id=CR110427491830595584&hl=en,gascon s dangerous pro criminal agenda puts criminals first and victims last district attorney gascón s policies are lenient on crime and blatantly pro criminal,criminal,safety
68,,,,it is awesome to have the support of the california nurses association what they have been through in this pandemic is unreal if hospitals are going to continue not paying property taxes they must treat our nurses better,"taxes,pandemic","covid,economic"
69,,,,when the other candidate rides the coat tails of other establishment politicians i ride in on my experience dedication and support from the people transparency and credibility ad5 california,no words,no topic
70,,,,seydi has worked with san fernando valley communities for 20 years she understands the issues we are facing and she s prepared to advocate for us in sacramento vote for seydi because she pledges toward fixing homelessness housing education small business access to healthcare most importantly she pledges to listen to her constituents vote for seydi alejandra morales for state senate district 20 starting may 9th,"education,healthcare,small business","economic,education,health"
71,,,,learn more about our efforts to find solutions that will protect our planet while building a more equitable future for ca families,no words,no topic
72,,,,special interests like 𝗥𝗲𝗰𝗼𝗹𝗼𝗴𝘆 are exploiting environmental problems for their own profits the san francisco based garbage and recycling giant was fined 36 million in a public corruption scandal after it admitted to bribery allegations related to overcharging customers 100 million don t let special interests make up for lost profits by raising taxes on california taxpayers,"taxpayers,taxes",economic
73,,,,across our state working families and people on fixed incomes are already struggling to make ends meet tell your legislator today to focus on solutions to reduce plastic waste without raising taxes on hardworking families,"incomes,legislator,taxes","economic,governance"
74,,,,the open primary is on june 7th you can vote for any candidate on the ballot no matter the party let s all show the extremists who have taken over washington dc and california that together across party lines we are taking back our country there s a better way,no words,no topic
75,,,,the cost of housing is skyrocketing and our communities are suffering vote rn jennifer esteen for ca state assembly,no words,no topic
76,,,,rep david valadao is fighting to suspend the gas tax in california to help families and farmers just like governor larry hogan already did in maryland if you agree join an america united today and help fight for real solutions to america s problems,tax,economic
77,,,,rep david valadao is fighting to make america less dependent on foreign energy an america united believes america should harness its resources to become energy independent do you agree sign up today,"energy independent,foreign","environment,foreign policy"
78,,,,i am excited to announce my re election campaign for california s new 6th congressional district i look forward to continue working for sacramento county,no words,no topic
79,,,,i ve officially filed to run in california s new 6th congressional district and would be honored to earn your vote in the june primary election let s keep pushing sacramento county forward,no words,no topic
80,,,,i ll be honest we re behind where we need to be to hit this april fundraising goal defeating my trump backed republican opponent is going to take the solidarity and support of people from all walks of life i m running a people first campaign to bring real relief with medicare for all a green new deal and livable wages the california democratic party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for all will you join the cadp and chip in a few dollars to keep this fight going donations made today have the biggest impact on this campaign,"chip in,green new deal,new deal,wages,green new,medicare for all,medicare","donation,economic,environment,social programs"
81,,,,california rifle pistol association is fighting at the supreme court but we need your immediate support to defend the second amendment,supreme court,governance
82,,,,sheriffs shouldn t interfere with cause of death rulings in officer involved deaths but they do in ca ab1608 aims to fix that by making coroner and sheriff officers separate all families who lost their loved ones to police deserve unbiased medical investigations ten counties in california already do this make this statewide take action using the link in our bio follow us for the latest updates,"police,officers",safety
83,,,,emil guillermo is emil amok e295 musk is making it private deal breaker filipinos in u s vote in ca 45 race steel s racism wdaaat emil s takes on everything aaf asian american filipino and all aax s it s our micro talk show updates at www amok com,racism,social and cultural
84,,,,scientists coastal businesses environmental leaders and our neighbors are all worried about the impacts of the brookfield poseidon desalination plant in huntington beach if you love the ocean you should be too sign the petition to say no to this dangerous project,no words,no topic
85,,,,gary griggs ucsc distinguished professor of earth sciences talks about why greenway is the best environmental choice for the unused rail corridor,no words,no topic
86,,,,while california is the 1 state funding my opponent s senate campaign i m fighting for georgia we need your support today so that we can continue building momentum to win this race can we count on you to chip in 3 or 7 right now,chip in,donation
87,,,,molinacares and aha sacramento are working to support women s heart health while improving health outcomes throughout california,health,health
88,,,,even though 12 republicans voted to cap the price of insulin at 35 month to consumers something that s badly needed for a lifesaving medicine my opponent stood against it selling out his diabetic constituents for big pharma price gouging profits i m running a people first campaign to bring real relief with medicare for all a green new deal and livable wages the california democratic party has recognized how this campaign has the power to bring together different people in a fight for a more livable future for all will you join the cadp and chip in a few dollars to keep this fight going donations made today have the biggest impact on this campaign,"consumers,chip in,green new deal,big pharma,new deal,wages,green new,medicine,medicare for all,insulin,medicare","donation,economic,environment,health,social programs"
