,ad_id,ad_url,advertiser_name,impressions,spend_usd
53,CR527533962336141312,https://transparencyreport.google.com/political-ads/library/advertiser/AR73365463119167488/creative/CR527533962336141312,MARK KELLY FOR SENATE,≤ 10k,≤ 100
54,CR315167964355624960,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR315167964355624960,JARHETT BLONIEN,≤ 10k,≤ 100
55,CR269167421506453504,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR269167421506453504,Lost Debate Inc,≤ 10k,≤ 100
56,CR107720631641964544,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR107720631641964544,Lost Debate Inc,≤ 10k,≤ 100
57,CR477311432275263488,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR477311432275263488,JARHETT BLONIEN,≤ 10k,≤ 100
58,CR392005960073216000,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR392005960073216000,Lost Debate Inc,≤ 10k,≤ 100
59,CR484750865387749376,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR484750865387749376,Lost Debate Inc,≤ 10k,≤ 100
60,CR138581998888288256,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR138581998888288256,SAHAK NALBANDYAN,≤ 10k,≤ 100
61,CR83661667958784000,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR83661667958784000,"TURNING POINT USA, NFP",≤ 10k,≤ 100
62,CR427329970138775552,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR427329970138775552,"TURNING POINT USA, NFP",≤ 10k,≤ 100
63,CR140667360129318912,https://transparencyreport.google.com/political-ads/library/advertiser/AR445223284930248704/creative/CR140667360129318912,Vincent Collis,10k-100k,≤ 100
64,CR162889727077253120,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR162889727077253120,Lost Debate Inc,≤ 10k,≤ 100
65,CR44655805768663040,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR44655805768663040,Lost Debate Inc,≤ 10k,≤ 100
66,CR424981688179752960,https://transparencyreport.google.com/political-ads/library/advertiser/AR47529894803931136/creative/CR424981688179752960,RESOURCE MEDIA A NONPROFIT CORPORATION,≤ 10k,≤ 100
67,CR411567371442978816,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR411567371442978816,Lost Debate Inc,≤ 10k,≤ 100
68,CR27635503209644032,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR27635503209644032,Lost Debate Inc,≤ 10k,≤ 100
69,CR446169552124903424,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR446169552124903424,Lost Debate Inc,≤ 10k,≤ 100
70,CR487144777079324672,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR487144777079324672,Lost Debate Inc,≤ 10k,≤ 100
71,CR531034257603166208,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR531034257603166208,Lost Debate Inc,≤ 10k,≤ 100
72,CR117786110838439936,https://transparencyreport.google.com/political-ads/library/advertiser/AR73365463119167488/creative/CR117786110838439936,MARK KELLY FOR SENATE,100k-1M,1k-50k
73,CR24541340050128896,https://transparencyreport.google.com/political-ads/library/advertiser/AR440853413404606464/creative/CR24541340050128896,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",100k-1M,1k-50k
74,CR128660280837144576,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR128660280837144576,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",≤ 10k,100-1k
75,CR248777528125161472,https://transparencyreport.google.com/political-ads/library/advertiser/AR73365463119167488/creative/CR248777528125161472,MARK KELLY FOR SENATE,10k-100k,100-1k
76,CR418100119779409920,https://transparencyreport.google.com/political-ads/library/advertiser/AR247685438200872960/creative/CR418100119779409920,NEWSOM FOR CALIFORNIA – GOVERNOR – 2022,10k-100k,100-1k
77,CR525740521432285184,https://transparencyreport.google.com/political-ads/library/advertiser/AR448621463054843904/creative/CR525740521432285184,SHELLENBERGER FOR GOVERNOR 2022,10k-100k,100-1k
78,CR227372785511432192,https://transparencyreport.google.com/political-ads/library/advertiser/AR68466589061611520/creative/CR227372785511432192,UNION OF CONCERNED SCIENTISTS. INC,10k-100k,100-1k
79,CR566900876657033216,https://transparencyreport.google.com/political-ads/library/advertiser/AR480056328694267904/creative/CR566900876657033216,BARRY FRIEDLAND,10k-100k,100-1k
80,CR307131908746117120,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR307131908746117120,"TURNING POINT USA, NFP",≤ 10k,≤ 100
81,CR28553870296743936,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR28553870296743936,"TURNING POINT USA, NFP",≤ 10k,≤ 100
82,CR343752243020824576,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR343752243020824576,JARHETT BLONIEN,≤ 10k,≤ 100
83,CR258739103472812032,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR258739103472812032,"TURNING POINT USA, NFP",≤ 10k,≤ 100
84,CR255369100333678592,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR255369100333678592,JARHETT BLONIEN,≤ 10k,≤ 100
85,CR299153852374974464,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR299153852374974464,"TURNING POINT USA, NFP",≤ 10k,≤ 100
86,CR327583374778564608,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR327583374778564608,Lost Debate Inc,≤ 10k,≤ 100
87,CR116094787077013504,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR116094787077013504,JARHETT BLONIEN,≤ 10k,≤ 100
88,CR359667398954975232,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR359667398954975232,JARHETT BLONIEN,≤ 10k,≤ 100
89,CR447674783543328768,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR447674783543328768,"TURNING POINT USA, NFP",≤ 10k,≤ 100
90,CR262559356623519744,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR262559356623519744,Lost Debate Inc,≤ 10k,≤ 100
91,CR515796950587539456,https://transparencyreport.google.com/political-ads/library/advertiser/AR544351611158265856/creative/CR515796950587539456,Adam Lui,≤ 10k,≤ 100
92,CR415118794000695296,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR415118794000695296,Lost Debate Inc,≤ 10k,≤ 100
93,CR414945071163506688,https://transparencyreport.google.com/political-ads/library/advertiser/AR480056328694267904/creative/CR414945071163506688,BARRY FRIEDLAND,≤ 10k,≤ 100
94,CR248977089485602816,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR248977089485602816,Lost Debate Inc,≤ 10k,≤ 100
95,CR421531145813884928,https://transparencyreport.google.com/political-ads/library/advertiser/AR194446432348930048/creative/CR421531145813884928,NRSC,≤ 10k,≤ 100
96,CR547158045868687360,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR547158045868687360,"TURNING POINT USA, NFP",≤ 10k,≤ 100
97,CR207390261188231168,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR207390261188231168,"TURNING POINT USA, NFP",≤ 10k,≤ 100
98,CR174459750497386496,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR174459750497386496,JARHETT BLONIEN,≤ 10k,≤ 100
99,CR322721609238446080,https://transparencyreport.google.com/political-ads/library/advertiser/AR221691299693068288/creative/CR322721609238446080,SAHAK NALBANDYAN,≤ 10k,≤ 100
100,CR358594275606265856,https://transparencyreport.google.com/political-ads/library/advertiser/AR165194578326978560/creative/CR358594275606265856,JARHETT BLONIEN,≤ 10k,≤ 100
101,CR376881078121529344,https://transparencyreport.google.com/political-ads/library/advertiser/AR47529894803931136/creative/CR376881078121529344,RESOURCE MEDIA A NONPROFIT CORPORATION,≤ 10k,≤ 100
102,CR524966877563191296,https://transparencyreport.google.com/political-ads/library/advertiser/AR47529894803931136/creative/CR524966877563191296,RESOURCE MEDIA A NONPROFIT CORPORATION,≤ 10k,≤ 100
103,CR556808459425677312,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR556808459425677312,Lost Debate Inc,≤ 10k,≤ 100
104,CR233209268109574144,https://transparencyreport.google.com/political-ads/library/advertiser/AR544351611158265856/creative/CR233209268109574144,Adam Lui,≤ 10k,≤ 100
105,CR564408558674771968,https://transparencyreport.google.com/political-ads/library/advertiser/AR27609218009792512/creative/CR564408558674771968,"OZY MEDIA, INC.",≤ 10k,≤ 100
106,CR474911885586595840,https://transparencyreport.google.com/political-ads/library/advertiser/AR478907476482195456/creative/CR474911885586595840,"TURNING POINT USA, NFP",≤ 10k,≤ 100
107,CR498006577572216832,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR498006577572216832,Lost Debate Inc,≤ 10k,≤ 100
108,CR174468958907269120,https://transparencyreport.google.com/political-ads/library/advertiser/AR544351611158265856/creative/CR174468958907269120,Adam Lui,≤ 10k,≤ 100
109,CR235953374254596096,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR235953374254596096,Lost Debate Inc,≤ 10k,≤ 100
110,CR140367605771796480,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR140367605771796480,Lost Debate Inc,≤ 10k,≤ 100
111,CR47414617881706496,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR47414617881706496,Lost Debate Inc,≤ 10k,≤ 100
112,CR462093229274169344,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR462093229274169344,Lost Debate Inc,≤ 10k,≤ 100
113,CR167273479937196032,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR167273479937196032,Lost Debate Inc,≤ 10k,≤ 100
114,CR406156949600600064,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR406156949600600064,Lost Debate Inc,≤ 10k,≤ 100
115,CR456506885571346432,https://transparencyreport.google.com/political-ads/library/advertiser/AR47529894803931136/creative/CR456506885571346432,RESOURCE MEDIA A NONPROFIT CORPORATION,≤ 10k,≤ 100
116,CR170912725986181120,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR170912725986181120,Lost Debate Inc,≤ 10k,≤ 100
117,CR469328565540749312,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR469328565540749312,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",1M-10M,1k-50k
118,CR16095029164507136,https://transparencyreport.google.com/political-ads/library/advertiser/AR304375604893974528/creative/CR16095029164507136,KATIE PORTER FOR CONGRESS,10k-100k,100-1k
119,CR219435960826331136,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR219435960826331136,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",1M-10M,> 100k
120,CR476365439958515712,https://transparencyreport.google.com/political-ads/library/advertiser/AR52147465683468288/creative/CR476365439958515712,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",1M-10M,1k-50k
121,CR9763216578052096,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR9763216578052096,Lost Debate Inc,≤ 10k,100-1k
122,CR467296393174712320,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR467296393174712320,Lost Debate Inc,≤ 10k,100-1k
123,CR378033366307438592,https://transparencyreport.google.com/political-ads/library/advertiser/AR73365463119167488/creative/CR378033366307438592,MARK KELLY FOR SENATE,≤ 10k,≤ 100
124,CR433413842853167104,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR433413842853167104,Lost Debate Inc,≤ 10k,100-1k
125,CR252237004023005184,https://transparencyreport.google.com/political-ads/library/advertiser/AR445223284930248704/creative/CR252237004023005184,Vincent Collis,10k-100k,100-1k
126,CR126580417154252800,https://transparencyreport.google.com/political-ads/library/advertiser/AR395244846450737152/creative/CR126580417154252800,Lost Debate Inc,≤ 10k,100-1k
